event_time,event_type,source_id,entity_id,region,channel,user_segment,priority,status,metric_volume,metric_value,payload_kb,processing_delay_sec,sla_target_sec
2026-02-01 22:47:36,card_capture,S12-0315,E12-004728,Крупный банк,mobile,vip,low,ok,4,1049.52,3.64,40,15
2026-02-15 05:52:07,risk_alert,S12-0383,E12-000068,Крупный банк,web,mass,low,ok,1,657.97,8.98,36,15
2026-02-11 22:31:58,transfer,S12-0058,E12-005821,Крупный банк,atm,business,high,,2,1885.79,4.15,55,15
2026-02-08 10:46:43,risk_alert,S12-0246,E12-001910,Крупный банк,mobile,mass,low,delayed,3,2288.86,3.49,37,15
2026-02-26 22:13:06,card_auth,S12-0189,E12-000436,Крупный банк,web,mass,low,,2,2962.0,5.79,41,15
2026-02-03 23:28:19,mobile_login,S12-0299,E12-004601,Крупный банк,web,mass,low,delayed,2,991.65,5.74,46,15
2026-02-01 10:04:00,card_auth,S12-0320,E12-000786,Крупный банк,web,vip,low,ok,1,1294.14,4.24,85,15
2026-02-10 08:57:26,card_auth,S12-0389,E12-000048,Крупный банк,web,mass,low,ok,3,12047.91,3.03,81,15
2026-02-05 18:50:34,card_auth,S12-0311,E12-005983,Крупный банк,atm,mass,medium,ok,5,3996.24,3.98,165,15
2026-02-21 21:33:37,card_auth,S12-0200,E12-003757,Крупный банк,web,mass,low,ok,5,5672.78,4.92,140,15
2026-02-23 00:20:25,card_auth,S12-0350,E12-004343,Крупный банк,atm,mass,medium,ok,2,2574.41,3.02,59,15
2026-02-11 00:09:00,card_auth,S12-0036,E12-000576,Крупный банк,mobile,mass,low,ok,3,3231.35,4.38,142,15
2026-02-09 19:04:15,card_capture,S12-0292,E12-005403,Крупный банк,mobile,mass,low,ok,3,12360.53,4.33,91,15
2026-02-25 14:24:40,mobile_login,S12-0032,E12-002658,Крупный банк,web,mass,low,ok,1,2468.53,4.42,65,15
2026-02-03 12:53:06,mobile_login,S12-0302,E12-000003,Крупный банк,mobile,business,medium,ok,3,1586.42,4.26,11,15
2026-02-02 01:08:14,card_auth,S12-0088,E12-004264,Крупный банк,web,mass,low,ok,4,5029.02,4.8,29,15
2026-02-19 20:27:01,mobile_login,S12-0378,E12-000163,Крупный банк,web,mass,low,ok,1,4992.95,3.03,42,15
2026-02-20 05:27:22,card_auth,S12-0385,E12-002157,Крупный банк,mobile,mass,low,warning,4,2651.44,4.96,60,15
2026-02-25 06:48:13,mobile_login,S12-0145,E12-004175,Крупный банк,atm,mass,high,ok,2,1597.91,4.16,147,15
2026-02-16 11:05:00,card_auth,S12-0012,E12-004989,Крупный банк,atm,business,high,ok,3,4765.67,3.04,69,15
2026-02-05 22:19:09,card_auth,S12-0086,E12-003938,Крупный банк,web,mass,high,ok,2,4687.01,5.45,78,15
2026-02-05 06:52:23,card_auth,S12-0012,E12-002450,Крупный банк,atm,mass,low,ok,2,1881.78,2.55,37,15
2026-02-10 22:42:33,transfer,S12-0263,E12-002459,Крупный банк,web,mass,high,ok,2,4904.39,5.73,20,15
2026-02-15 23:08:59,card_capture,S12-0349,E12-004753,Крупный банк,web,business,high,ok,3,2592.39,3.06,157,15
2026-02-01 17:36:00,card_auth,S12-0129,E12-000146,Крупный банк,web,mass,low,delayed,4,12873.67,3.36,40,15
2026-02-04 02:16:26,card_capture,S12-0366,E12-001803,Крупный банк,atm,mass,medium,ok,3,2816.62,4.52,81,15
2026-02-22 16:53:53,card_auth,S12-0176,E12-001025,Крупный банк,web,mass,medium,delayed,6,4339.45,3.36,49,15
2026-02-09 02:00:00,card_auth,S12-0011,E12-001883,Крупный банк,web,mass,medium,ok,4,5846.3,3.82,85,15
2026-02-13 19:08:00,card_auth,S12-0291,E12-004191,Крупный банк,mobile,mass,medium,ok,1,2359.63,3.35,55,15
2026-02-26 12:29:27,risk_alert,S12-0126,E12-000058,Крупный банк,web,mass,high,ok,2,978.45,3.81,140,15
2026-02-14 17:38:19,transfer,S12-0031,E12-003902,Крупный банк,atm,vip,medium,ok,3,969.03,2.4,131,15
2026-02-25 23:55:17,card_capture,S12-0104,E12-004967,Крупный банк,web,business,medium,,3,8275.33,5.88,39,15
2026-02-23 01:18:11,card_auth,S12-0088,E12-003129,Крупный банк,web,vip,high,ok,3,2275.02,4.53,122,15
2026-02-17 06:08:00,card_capture,S12-0291,E12-002672,Крупный банк,mobile,mass,low,delayed,5,1168.05,2.15,95,15
2026-02-19 08:18:11,card_auth,S12-0246,E12-003752,Крупный банк,atm,social,medium,ok,3,6750.47,2.96,28,15
2026-02-09 02:04:00,risk_alert,S12-0243,E12-003929,Крупный банк,web,mass,low,ok,3,3052.96,4.46,36,15
2026-02-16 06:26:19,card_auth,S12-0153,E12-004226,Крупный банк,web,mass,low,warning,2,428.13,3.37,20,15
2026-02-05 10:56:25,card_capture,S12-0373,E12-005185,Крупный банк,atm,social,low,ok,1,8979.98,3.91,24,15
2026-02-27 23:22:59,mobile_login,S12-0293,E12-004458,Крупный банк,web,mass,low,ok,2,2984.5,2.63,38,15
2026-02-20 04:45:56,risk_alert,S12-0031,E12-000906,Крупный банк,mobile,mass,medium,ok,3,9505.55,4.59,110,15
2026-02-18 16:09:18,mobile_login,S12-0215,E12-001357,Крупный банк,mobile,mass,medium,warning,2,5783.1,3.84,42,15
2026-02-10 16:14:35,card_capture,S12-0331,E12-005882,Крупный банк,atm,mass,medium,ok,3,7957.89,3.61,34,15
2026-02-21 13:24:22,mobile_login,S12-0390,E12-005558,Крупный банк,atm,mass,low,ok,2,6350.03,1.06,50,15
2026-02-22 03:37:30,transfer,S12-0322,E12-002445,Крупный банк,web,social,low,ok,3,2075.71,4.36,40,15
2026-02-06 13:02:00,card_auth,S12-0325,E12-003895,Крупный банк,atm,mass,high,delayed,4,5683.34,4.16,73,15
2026-02-04 00:10:06,mobile_login,S12-0093,E12-000621,Крупный банк,atm,mass,high,ok,1,5726.33,4.26,52,15
2026-02-16 00:30:14,card_auth,S12-0042,E12-004413,Крупный банк,web,mass,low,delayed,3,8444.63,2.75,93,15
2026-02-22 17:01:48,card_auth,S12-0233,E12-004166,Крупный банк,web,mass,low,ok,2,5660.43,4.61,13,15
2026-02-20 06:03:00,card_capture,S12-0271,E12-003161,Крупный банк,web,mass,high,ok,6,2368.12,4.2,100,15
2026-02-28 19:45:40,card_auth,S12-0051,E12-000390,Крупный банк,web,business,high,ok,3,3645.93,4.81,33,15
2026-02-18 21:37:31,transfer,S12-0325,E12-000106,Крупный банк,web,mass,low,ok,5,989.28,5.69,77,15
2026-02-07 13:29:42,card_auth,S12-0245,E12-005568,Крупный банк,web,business,high,delayed,2,2249.77,4.99,68,15
2026-02-04 22:35:02,mobile_login,S12-0217,E12-003220,Крупный банк,mobile,social,low,ok,2,1087.95,2.33,59,15
2026-02-02 12:41:48,risk_alert,S12-0174,E12-001605,Крупный банк,web,mass,low,ok,6,2669.22,5.32,100,15
2026-02-15 11:01:00,card_auth,S12-0237,E12-000487,Крупный банк,atm,mass,medium,ok,3,2368.89,4.09,22,15
2026-02-20 01:07:00,mobile_login,S12-0255,E12-004940,Крупный банк,atm,mass,medium,ok,4,5933.8,2.56,38,15
2026-02-19 14:45:02,card_capture,S12-0289,E12-002407,Крупный банк,atm,mass,medium,ok,4,2575.66,2.89,71,15
2026-02-25 03:08:53,transfer,S12-0212,E12-002794,Крупный банк,atm,mass,medium,ok,2,1676.22,4.42,24,15
2026-02-03 22:33:17,mobile_login,S12-0293,E12-003113,Крупный банк,atm,mass,low,ok,3,8504.08,5.15,28,15
2026-02-02 04:48:47,card_auth,S12-0054,E12-003042,Крупный банк,mobile,business,low,ok,1,6394.84,2.27,22,15
2026-02-10 08:07:00,card_auth,S12-0386,E12-004672,Крупный банк,web,mass,medium,ok,5,6677.15,6.13,59,15
2026-02-13 16:37:28,mobile_login,S12-0104,E12-003093,Крупный банк,atm,mass,low,ok,3,1047.63,4.88,16,15
2026-02-10 17:41:22,card_capture,S12-0298,E12-004014,Крупный банк,web,social,low,ok,4,8593.64,3.64,5,15
2026-02-05 05:35:51,risk_alert,S12-0367,E12-001432,Крупный банк,atm,mass,low,ok,2,1013.52,3.73,60,15
2026-02-13 07:00:00,card_capture,S12-0278,E12-004512,Крупный банк,atm,mass,low,ok,3,2489.5,5.4,124,15
2026-02-26 00:06:03,mobile_login,S12-0316,E12-005742,Крупный банк,web,mass,low,ok,1,2144.77,4.28,33,15
2026-02-26 00:38:52,card_capture,S12-0043,E12-005818,Крупный банк,web,mass,low,ok,2,5072.86,6.47,59,15
2026-02-07 11:07:00,transfer,S12-0170,E12-002863,Крупный банк,atm,social,medium,delayed,3,3427.6,2.26,36,15
2026-02-06 00:55:49,card_auth,S12-0080,E12-000058,Крупный банк,mobile,social,medium,ok,3,4567.41,2.95,41,15
2026-02-11 20:29:28,card_auth,S12-0292,E12-000444,Крупный банк,atm,mass,medium,ok,5,2508.95,1.32,22,15
2026-02-17 08:13:33,card_capture,S12-0001,E12-005265,Крупный банк,web,mass,high,ok,2,4087.24,6.03,78,15
2026-02-28 07:26:42,card_capture,S12-0098,E12-003213,Крупный банк,atm,business,low,ok,3,2082.43,0.56,16,15
2026-02-09 16:07:00,card_auth,S12-0362,E12-004595,Крупный банк,mobile,mass,high,ok,3,1498.24,2.9,112,15
2026-02-08 17:21:19,risk_alert,S12-0261,E12-003150,Крупный банк,atm,social,low,ok,8,1458.4,4.76,21,15
2026-02-01 18:50:08,risk_alert,S12-0266,E12-004292,Крупный банк,web,vip,high,ok,1,4864.1,3.54,66,15
2026-02-05 15:32:41,mobile_login,S12-0286,E12-004665,Крупный банк,mobile,mass,low,delayed,2,6136.6,2.72,98,15
2026-02-28 02:41:35,card_capture,S12-0305,E12-003715,Крупный банк,mobile,mass,low,ok,4,10811.58,3.88,71,15
2026-02-08 02:15:02,risk_alert,S12-0175,E12-003853,Крупный банк,web,mass,medium,ok,4,4453.05,2.45,41,15
2026-02-04 01:20:49,card_auth,S12-0092,E12-002454,Крупный банк,mobile,business,high,ok,2,1431.84,5.38,52,15
2026-02-24 04:15:59,card_capture,S12-0009,E12-002875,Крупный банк,web,mass,medium,ok,1,3242.67,5.37,127,15
2026-02-09 18:22:56,card_capture,S12-0280,E12-003702,Крупный банк,mobile,mass,low,ok,3,4697.86,3.23,48,15
2026-02-21 09:43:16,transfer,S12-0091,E12-000445,Крупный банк,atm,social,medium,ok,1,5320.85,4.48,6,15
2026-02-26 12:39:03,card_auth,S12-0130,E12-004302,Крупный банк,web,business,high,ok,2,1595.23,3.43,140,15
2026-02-16 19:57:40,card_capture,S12-0197,E12-003731,Крупный банк,web,mass,medium,warning,4,2061.01,6.14,62,15
2026-02-01 15:32:00,risk_alert,S12-0377,E12-004281,Крупный банк,mobile,social,medium,ok,3,895.27,4.24,76,15
2026-02-18 00:32:33,card_capture,S12-0208,E12-003939,Крупный банк,web,mass,low,ok,3,3096.66,5.66,32,15
2026-02-22 20:10:44,card_capture,S12-0382,E12-001527,Крупный банк,atm,social,medium,ok,2,3142.53,3.51,133,15
2026-02-07 05:35:54,mobile_login,S12-0213,E12-001928,Крупный банк,mobile,mass,low,ok,3,3197.03,4.59,15,15
2026-02-06 14:01:06,card_capture,S12-0051,E12-005668,Крупный банк,atm,social,high,ok,3,8414.12,4.55,55,15
2026-02-11 14:40:45,card_capture,S12-0375,E12-003766,Крупный банк,mobile,business,medium,ok,3,2349.95,3.07,4,15
2026-02-12 06:13:11,card_capture,S12-0379,E12-001863,Крупный банк,web,mass,high,ok,1,2505.46,5.04,156,15
2026-02-14 08:06:00,card_capture,S12-0122,E12-002683,Крупный банк,mobile,business,high,ok,4,7920.6,3.68,43,15
2026-02-08 02:06:28,mobile_login,S12-0018,E12-004763,Крупный банк,mobile,mass,low,ok,4,12427.11,3.16,66,15
2026-02-01 10:21:31,transfer,S12-0263,E12-004345,Крупный банк,web,mass,low,delayed,1,1754.15,5.38,49,15
2026-02-24 19:32:24,risk_alert,S12-0136,E12-004970,Крупный банк,web,business,medium,ok,1,4085.38,4.8,96,15
2026-02-01 07:00:41,card_auth,S12-0080,E12-003287,Крупный банк,atm,vip,low,ok,1,16423.29,4.02,16,15
2026-02-21 21:03:38,transfer,S12-0158,E12-002079,Крупный банк,web,mass,medium,ok,3,958.26,4.73,15,15
2026-02-09 04:26:47,card_auth,S12-0011,E12-002786,Крупный банк,web,mass,medium,delayed,4,6033.6,4.21,207,15
2026-02-03 23:16:49,card_auth,S12-0221,E12-001492,Крупный банк,atm,mass,high,ok,5,11564.3,5.22,25,15
2026-02-09 07:14:58,card_auth,S12-0144,E12-005865,Крупный банк,mobile,mass,high,ok,3,3101.52,3.61,72,15
2026-02-22 13:01:44,card_capture,S12-0062,E12-001324,Крупный банк,mobile,mass,low,ok,2,3412.6,4.14,100,15
2026-02-28 13:21:39,transfer,S12-0256,E12-002706,Крупный банк,atm,vip,low,ok,3,,1.78,40,15
2026-02-02 01:52:37,mobile_login,S12-0043,E12-000807,Крупный банк,web,social,high,ok,5,4846.18,5.72,128,15
2026-02-05 22:20:06,risk_alert,S12-0090,E12-000883,Крупный банк,web,business,medium,ok,5,5661.64,3.99,38,15
2026-02-14 01:04:00,card_auth,S12-0023,E12-005196,Крупный банк,mobile,business,high,ok,1,13232.98,3.88,63,15
2026-02-13 07:23:10,card_auth,S12-0191,E12-004905,Крупный банк,mobile,mass,high,ok,1,6030.29,4.35,121,15
2026-02-18 07:04:00,card_capture,S12-0072,E12-001737,Крупный банк,atm,social,low,ok,3,6636.57,4.73,24,15
2026-02-11 12:13:30,card_auth,S12-0231,E12-003306,Крупный банк,mobile,mass,low,ok,3,1381.14,1.73,129,15
2026-02-27 21:10:47,card_auth,S12-0071,E12-000330,Крупный банк,mobile,social,low,ok,6,1433.46,2.13,127,15
2026-02-19 23:28:22,card_auth,S12-0393,E12-001377,Крупный банк,web,vip,low,warning,3,4866.89,5.41,34,15
2026-02-23 04:05:34,card_auth,S12-0031,E12-000498,Крупный банк,web,mass,low,delayed,2,1378.02,3.72,77,15
2026-02-02 01:42:37,card_capture,S12-0222,E12-005768,Крупный банк,mobile,mass,medium,ok,4,879.85,4.51,58,15
2026-02-10 18:33:27,mobile_login,S12-0128,E12-005489,Крупный банк,mobile,social,medium,ok,1,6908.95,5.8,61,15
2026-02-10 11:14:52,card_capture,S12-0380,E12-001104,Крупный банк,atm,business,medium,ok,1,1418.94,4.65,50,15
2026-02-23 08:19:03,transfer,S12-0258,E12-005715,Крупный банк,mobile,business,low,warning,1,6691.86,1.7,49,15
2026-02-15 20:09:00,card_capture,S12-0048,E12-005525,Крупный банк,web,mass,high,ok,2,2885.25,6.15,90,15
2026-02-14 21:00:16,card_auth,S12-0035,E12-003954,Крупный банк,web,vip,low,ok,2,3081.94,6.39,43,15
2026-02-14 00:14:21,card_capture,S12-0054,E12-000324,Крупный банк,atm,mass,low,ok,5,1247.66,4.17,9,15
2026-02-08 15:56:35,card_auth,S12-0336,E12-004309,Крупный банк,atm,mass,high,ok,6,7105.65,1.38,149,15
2026-02-14 03:25:11,card_auth,S12-0031,E12-000925,Крупный банк,web,business,low,warning,1,4355.97,5.86,118,15
2026-02-06 17:07:00,card_capture,S12-0072,E12-001759,Крупный банк,atm,mass,high,ok,1,5704.22,5.07,86,15
2026-02-25 06:37:33,card_auth,S12-0081,E12-005996,Крупный банк,atm,mass,medium,ok,1,3303.12,0.4,15,15
2026-02-11 04:45:47,card_capture,S12-0132,E12-004016,Крупный банк,mobile,mass,medium,ok,5,1665.64,1.11,46,15
2026-02-02 01:08:51,card_auth,S12-0117,E12-005581,Крупный банк,atm,social,low,ok,4,829.93,2.38,36,15
2026-02-16 01:01:34,transfer,S12-0380,E12-003437,Крупный банк,mobile,mass,low,ok,3,2313.23,3.19,49,15
2026-02-08 18:16:19,card_auth,S12-0284,E12-003032,Крупный банк,mobile,mass,low,ok,4,3760.26,0.4,16,15
2026-02-20 01:50:14,card_auth,S12-0272,E12-005618,Крупный банк,web,business,low,ok,1,1485.53,5.65,3,15
2026-02-15 13:03:00,risk_alert,S12-0258,E12-003227,Крупный банк,web,mass,medium,ok,3,13589.65,5.13,49,15
2026-02-11 17:42:05,card_auth,S12-0265,E12-001339,Крупный банк,web,social,medium,delayed,4,7368.75,5.1,39,15
2026-02-03 14:45:15,risk_alert,S12-0309,E12-005789,Крупный банк,mobile,mass,high,ok,3,3388.17,3.4,49,15
2026-02-28 08:17:18,card_auth,S12-0183,E12-002950,Крупный банк,web,mass,high,ok,1,1651.67,5.36,69,15
2026-02-06 06:33:15,card_auth,S12-0287,E12-004139,Крупный банк,web,business,medium,error,4,1852.18,4.07,41,15
2026-02-03 01:52:48,mobile_login,S12-0126,E12-002410,Крупный банк,web,social,high,delayed,3,9181.08,4.74,75,15
2026-02-06 02:51:51,risk_alert,S12-0367,E12-005376,Крупный банк,web,business,low,ok,2,3138.99,5.07,38,15
2026-02-08 10:12:14,card_auth,S12-0317,E12-000297,Крупный банк,web,social,low,ok,4,3723.09,7.39,84,15
2026-02-21 14:33:06,risk_alert,S12-0391,E12-001685,Крупный банк,atm,mass,low,ok,2,3815.56,2.21,20,15
2026-02-16 21:03:00,card_auth,S12-0316,E12-003785,Крупный банк,atm,vip,low,ok,4,4622.54,3.96,106,15
2026-02-21 20:42:42,transfer,S12-0341,E12-004448,Крупный банк,mobile,vip,low,ok,6,4663.73,3.38,48,15
