client_id,age,income_rub,city,education,contract_type,tenure_months,purchases_6m,support_calls_6m,churn
CL44400315,37,54654.0,Симферополь,Магистратура,Месячный,22,3.0,2,0
CL44400523,55,70639.0,Казань,Магистратура,Месячный,67,8.0,3,0
CL44400357,44,103804.0,Санкт‑Петербург,Высшее,Двухлетний,60,5.0,3,0
CL44400192,22,88562.0,Казань,Среднее специальное,Месячный,22,7.0,1,0
CL44400069,27,16225.0,Санкт‑Петербург,Высшее,Месячный,51,5.0,1,1
CL44400066,32,50769.0,Казань,Высшее,Двухлетний,52,7.0,4,0
CL44400607,37,,,Среднее специальное,Годовой,28,9.0,2,0
CL44400216,47,71984.0,Симферополь,Магистратура,Месячный,63,4.0,2,1
CL44400232,40,35580.0,Санкт‑Петербург,Среднее,Годовой,61,4.0,3,0
CL44400598,67,69992.0,Новосибирск,Среднее,Месячный,50,3.0,2,1
CL44400153,46,84453.0,Новосибирск,Среднее,Месячный,53,6.0,1,0
CL44400018,50,123363.0,Новосибирск,Среднее специальное,Месячный,59,9.0,1,0
CL44400050,45,50779.0,Новосибирск,Среднее,Месячный,13,7.0,0,1
CL44400426,62,118253.0,Санкт‑Петербург,Высшее,Месячный,4,3.0,2,0
CL44400046,39,123555.0,Москва,Среднее специальное,Месячный,16,,3,0
CL44400072,53,71541.0,Москва,Среднее специальное,Двухлетний,44,6.0,5,0
CL44400514,46,75956.0,Новосибирск,,Годовой,59,7.0,0,0
CL44400177,59,55274.0,Санкт‑Петербург,Магистратура,Двухлетний,15,6.0,1,0
CL44400603,56,89520.0,Казань,Среднее специальное,Двухлетний,51,10.0,1,0
CL44400250,29,55483.0,Новосибирск,Высшее,Годовой,58,3.0,2,0
CL44400197,60,312045.0,Новосибирск,Магистратура,Месячный,56,4.0,1,1
CL44400195,54,39686.0,Санкт‑Петербург,Среднее специальное,Годовой,55,7.0,1,0
CL44400451,63,58498.0,Москва,Среднее специальное,Годовой,8,0.0,1,0
CL44400648,60,31376.0,Симферополь,Среднее,Месячный,53,5.0,3,1
CL44400349,68,60959.0,Новосибирск,Высшее,Месячный,65,5.0,1,1
CL44400180,38,90102.0,Казань,Среднее,Месячный,63,9.0,1,0
CL44400106,25,47236.0,Симферополь,Высшее,Месячный,42,9.0,1,0
CL44400052,67,202371.0,,Магистратура,Месячный,4,9.0,2,1
CL44400623,64,70677.0,Москва,Высшее,Двухлетний,6,,1,0
CL44400380,45,43443.0,Москва,Высшее,Двухлетний,31,5.0,3,0
CL44400038,23,71602.0,Санкт‑Петербург,Среднее,Месячный,43,10.0,1,0
CL44400009,18,,Москва,Среднее специальное,Двухлетний,22,2.0,0,0
CL44400331,65,51690.0,Симферополь,Магистратура,Двухлетний,2,8.0,3,0
CL44400427,42,56927.0,Казань,Среднее специальное,Месячный,11,7.0,2,0
CL44400117,35,37897.0,Москва,Среднее,Годовой,27,10.0,0,1
CL44400517,40,91826.0,Москва,Среднее специальное,Двухлетний,58,2.0,3,0
CL44400332,60,63379.0,Казань,Среднее специальное,Месячный,36,11.0,0,0
CL44400407,62,64574.0,Москва,Высшее,Двухлетний,18,9.0,2,0
CL44400501,65,37458.0,Санкт‑Петербург,Высшее,Месячный,0,7.0,2,1
CL44400433,35,64404.0,Москва,Высшее,Двухлетний,53,6.0,1,0
CL44400463,50,144529.0,Санкт‑Петербург,Среднее специальное,Годовой,31,5.0,1,0
CL44400190,35,80800.0,Санкт‑Петербург,Среднее специальное,Двухлетний,54,6.0,2,0
CL44400353,45,23678.0,Новосибирск,Магистратура,Месячный,10,,0,1
CL44400600,47,54343.0,Казань,Высшее,Месячный,71,5.0,1,0
CL44400440,52,86933.0,Новосибирск,Высшее,Месячный,24,,0,1
CL44400107,34,87576.0,Симферополь,Высшее,Месячный,66,8.0,3,0
CL44400206,50,67947.0,Санкт‑Петербург,Среднее специальное,Месячный,9,7.0,2,0
CL44400241,53,71349.0,Казань,Высшее,Двухлетний,52,8.0,0,0
CL44400425,31,80863.0,Новосибирск,Среднее,Месячный,16,6.0,0,1
CL44400488,22,70712.0,Москва,Среднее специальное,Месячный,25,7.0,0,0
CL44400479,48,77128.0,Санкт‑Петербург,Высшее,Месячный,51,6.0,0,0
CL44400368,24,94850.0,Казань,,Месячный,34,7.0,0,0
CL44400182,67,46637.0,Севастополь,Среднее,Месячный,44,64.0,2,0
CL44400297,18,96465.0,Симферополь,Среднее,Месячный,17,,2,0
CL44400469,47,55949.0,Казань,Высшее,Месячный,71,9.0,3,0
CL44400193,33,63903.0,Москва,,Годовой,71,8.0,0,0
CL44400379,55,62857.0,Симферополь,Высшее,Месячный,22,1.0,2,0
CL44400022,30,92687.0,Новосибирск,Высшее,Годовой,9,4.0,1,0
CL44400448,21,59981.0,Симферополь,Высшее,Месячный,36,5.0,2,0
CL44400094,62,70460.0,Санкт‑Петербург,Высшее,Годовой,21,3.0,2,0
CL44400613,40,115117.0,Казань,Среднее,Годовой,60,3.0,0,0
CL44400162,18,81941.0,Казань,Высшее,Годовой,5,7.0,3,0
CL44400060,43,42026.0,Новосибирск,Среднее специальное,Двухлетний,58,7.0,0,0
CL44400095,39,85846.0,Санкт‑Петербург,Высшее,Двухлетний,39,7.0,1,0
CL44400596,36,65662.0,Санкт‑Петербург,Высшее,Годовой,59,4.0,1,0
CL44400217,60,39882.0,Казань,Магистратура,Двухлетний,34,7.0,2,0
CL44400394,58,59878.0,Москва,Среднее,Месячный,1,5.0,2,1
CL44400266,47,111462.0,Санкт‑Петербург,Высшее,Месячный,25,10.0,1,0
CL44400263,63,90507.0,Новосибирск,Среднее специальное,Месячный,52,6.0,0,1
CL44400028,33,85833.0,Севастополь,Высшее,Годовой,46,8.0,1,0
CL44400385,55,,Казань,Магистратура,Месячный,10,2.0,3,1
CL44400459,36,55124.0,Москва,Среднее специальное,Двухлетний,7,10.0,0,0
CL44400144,56,98329.0,Новосибирск,Высшее,Месячный,71,4.0,2,0
CL44400449,61,,Симферополь,Высшее,Месячный,66,4.0,4,0
CL44400105,32,485034.0,Симферополь,Среднее специальное,Месячный,21,,2,1
CL44400415,32,92870.0,Санкт‑Петербург,Среднее,Месячный,42,3.0,0,1
CL44400127,21,79820.0,Симферополь,Магистратура,Месячный,19,4.0,2,1
CL44400362,25,43981.0,Казань,Среднее,Месячный,12,7.0,1,1
CL44400015,54,51090.0,Москва,Высшее,Месячный,38,3.0,0,0
CL44400316,54,65501.0,Москва,Высшее,Годовой,70,10.0,2,0
CL44400466,25,59989.0,Санкт‑Петербург,Среднее специальное,Годовой,34,11.0,1,0
CL44400413,62,52370.0,Новосибирск,Среднее специальное,Месячный,6,4.0,2,1
CL44400319,35,54028.0,Казань,Среднее специальное,Годовой,66,9.0,3,0
CL44400323,48,58400.0,Москва,Магистратура,Месячный,63,7.0,2,1
CL44400567,27,36190.0,Санкт‑Петербург,Магистратура,Месячный,59,6.0,0,1
CL44400053,52,,Севастополь,Среднее специальное,Месячный,22,5.0,1,0
CL44400534,33,102763.0,Москва,Среднее специальное,Месячный,12,8.0,0,0
CL44400388,40,75133.0,Симферополь,Магистратура,Месячный,44,12.0,2,0
CL44400339,40,76137.0,Казань,Среднее специальное,Годовой,39,4.0,1,0
CL44400187,55,107227.0,Санкт‑Петербург,Среднее специальное,Годовой,71,7.0,1,0
CL44400352,48,69603.0,Новосибирск,Магистратура,Месячный,51,3.0,2,1
CL44400228,58,90080.0,Казань,Высшее,Месячный,40,3.0,0,1
CL44400621,19,91902.0,Новосибирск,,Месячный,31,8.0,1,0
CL44400324,40,60035.0,,,Годовой,44,5.0,0,0
CL44400074,26,93153.0,Новосибирск,Высшее,Двухлетний,46,4.0,1,0
CL44400314,44,88332.0,Новосибирск,,Двухлетний,3,7.0,1,0
CL44400602,42,39274.0,Санкт‑Петербург,Высшее,Месячный,70,8.0,1,0
CL44400444,35,84684.0,Новосибирск,,Месячный,8,9.0,0,0
CL44400178,38,68952.0,Москва,Высшее,Месячный,63,5.0,1,0
CL44400646,65,85198.0,Казань,Среднее специальное,Месячный,68,6.0,0,0
CL44400464,43,,Новосибирск,Магистратура,Годовой,11,4.0,2,0
CL44400569,50,61560.0,Казань,Среднее,Двухлетний,32,,0,1
CL44400551,54,63948.0,Москва,Среднее,Годовой,43,5.0,3,0
CL44400095,39,85846.0,Санкт‑Петербург,Высшее,Двухлетний,39,7.0,1,0
CL44400507,61,55415.0,Москва,Высшее,Месячный,13,6.0,3,0
CL44400320,67,52237.0,Новосибирск,Среднее,Двухлетний,35,5.0,1,0
CL44400280,64,125271.0,Санкт‑Петербург,Среднее специальное,Годовой,54,4.0,1,0
CL44400065,65,,Новосибирск,,Месячный,51,6.0,0,0
CL44400100,30,42082.0,Санкт‑Петербург,Высшее,Месячный,16,7.0,1,1
CL44400455,48,,Казань,Среднее,Двухлетний,20,6.0,2,0
CL44400561,57,96603.0,Москва,Среднее специальное,Месячный,26,38.0,0,0
CL44400525,45,73258.0,Санкт‑Петербург,Высшее,Годовой,36,5.0,0,0
CL44400541,42,81661.0,Москва,Высшее,Месячный,3,2.0,2,0
CL44400636,45,58579.0,Санкт‑Петербург,Высшее,Месячный,54,8.0,0,0
CL44400475,56,86469.0,Новосибирск,Среднее,Месячный,40,5.0,1,0
CL44400574,69,23087.0,Москва,Среднее специальное,Месячный,38,6.0,0,1
CL44400040,66,78326.0,Казань,Среднее специальное,Двухлетний,2,5.0,1,0
CL44400311,51,73153.0,Санкт‑Петербург,,Месячный,37,6.0,4,0
CL44400547,32,40746.0,Москва,Высшее,Месячный,18,2.0,2,0
CL44400632,60,49449.0,Москва,Высшее,Месячный,53,5.0,0,0
CL44400277,26,49946.0,Москва,Высшее,Годовой,45,8.0,0,0
CL44400529,45,52781.0,Москва,Среднее специальное,Годовой,49,9.0,1,0
CL44400150,52,36715.0,Санкт‑Петербург,Высшее,Месячный,29,6.0,0,1
CL44400208,54,47968.0,Москва,Среднее специальное,Месячный,33,0.0,1,1
CL44400492,65,,,Среднее специальное,Месячный,24,6.0,1,0
CL44400286,55,39247.0,Новосибирск,Среднее,Месячный,61,6.0,3,1
CL44400375,31,449046.0,Новосибирск,Среднее,Годовой,54,6.0,0,0
CL44400239,20,91670.0,Москва,Магистратура,Годовой,2,7.0,1,0
CL44400343,62,119317.0,Москва,Высшее,Месячный,56,8.0,1,0
CL44400468,21,103924.0,Санкт‑Петербург,Среднее,Месячный,8,5.0,4,0
CL44400566,57,295278.0,Симферополь,Высшее,Месячный,4,6.0,0,0
CL44400035,67,353764.0,Санкт‑Петербург,Среднее специальное,Месячный,3,3.0,1,0
CL44400214,59,69097.0,Санкт‑Петербург,Среднее специальное,Месячный,51,10.0,1,0
CL44400033,30,47684.0,Симферополь,Высшее,Месячный,28,3.0,3,1
CL44400546,53,98552.0,Новосибирск,Среднее специальное,Двухлетний,2,,0,0
CL44400643,67,51790.0,Москва,Магистратура,Месячный,38,8.0,2,1
CL44400276,20,103802.0,Новосибирск,,Месячный,24,6.0,0,0
CL44400594,49,87806.0,Новосибирск,Среднее специальное,Месячный,30,8.0,2,0
CL44400210,53,119481.0,Казань,Высшее,Годовой,43,,3,0
CL44400133,66,31032.0,Санкт‑Петербург,Высшее,Годовой,13,7.0,0,0
CL44400502,65,69415.0,Москва,Среднее специальное,Месячный,65,10.0,0,0
CL44400042,25,88971.0,,Магистратура,Годовой,32,6.0,2,0
CL44400495,53,63817.0,Санкт‑Петербург,Магистратура,Месячный,16,8.0,1,1
CL44400461,69,31683.0,Москва,Высшее,Месячный,63,3.0,1,0
CL44400503,49,82163.0,Новосибирск,Среднее,Годовой,28,8.0,2,0
CL44400570,50,26554.0,Москва,Магистратура,Месячный,45,6.0,2,0
CL44400410,26,95237.0,Новосибирск,Высшее,Годовой,34,3.0,2,0
CL44400134,47,35185.0,Санкт‑Петербург,Среднее,Годовой,7,4.0,1,0
CL44400490,49,65663.0,Москва,Высшее,Годовой,26,10.0,1,0
CL44400272,67,40531.0,Санкт-Петербург,Высшее,Месячный,16,8.0,2,0
CL44400141,33,64293.0,Казань,Высшее,Годовой,50,7.0,2,0
CL44400163,21,274182.0,Санкт‑Петербург,Среднее,Месячный,23,55.0,2,0
CL44400597,64,75452.0,,Высшее,Месячный,35,8.0,1,0
CL44400082,21,84274.0,Москва,Среднее,Годовой,42,7.0,2,0
CL44400549,60,100139.0,Севастополь,,Месячный,21,7.0,1,0
CL44400504,65,85441.0,Симферополь,Высшее,Месячный,34,4.0,1,1
CL44400374,62,46230.0,Казань,Среднее,Двухлетний,16,,1,0
CL44400340,59,,,Среднее специальное,Месячный,63,7.0,3,0
CL44400599,53,58864.0,Санкт‑Петербург,Высшее,Месячный,36,7.0,0,0
CL44400238,63,66937.0,Москва,Среднее специальное,Месячный,29,3.0,3,0
CL44400496,22,51694.0,,Среднее,Годовой,68,9.0,1,0
CL44400194,40,38831.0,Казань,Среднее специальное,Месячный,11,7.0,0,0
CL44400077,24,102989.0,,Высшее,Годовой,70,,2,0
CL44400470,20,111473.0,Москва,Среднее специальное,Годовой,12,7.0,1,0
CL44400226,53,35795.0,Москва,Магистратура,Месячный,60,6.0,1,0
CL44400121,43,114373.0,Казань,Высшее,Месячный,6,4.0,3,0
CL44400364,54,52764.0,Москва,Магистратура,Двухлетний,64,64.0,1,0
CL44400089,31,30747.0,,Среднее специальное,Месячный,62,9.0,2,0
CL44400064,35,80881.0,Новосибирск,Высшее,Месячный,68,3.0,2,0
CL44400326,53,20666.0,Москва,Высшее,Двухлетний,24,6.0,1,0
CL44400304,27,94120.0,,Среднее,Годовой,27,7.0,6,0
CL44400397,44,43293.0,Санкт‑Петербург,Среднее,Месячный,2,2.0,1,1
CL44400098,69,40093.0,Москва,Магистратура,Годовой,53,7.0,0,0
CL44400198,58,32019.0,Симферополь,Высшее,Годовой,2,9.0,2,0
CL44400161,34,110259.0,Новосибирск,Высшее,Месячный,1,,0,1
CL44400218,54,49690.0,Москва,Среднее специальное,Месячный,54,8.0,0,0
CL44400431,41,89053.0,Санкт‑Петербург,Высшее,Месячный,15,8.0,1,0
CL44400001,27,93425.0,Санкт‑Петербург,Среднее,Годовой,2,10.0,0,0
CL44400176,50,42206.0,Казань,Среднее,Месячный,8,10.0,1,0
CL44400329,51,80311.0,Москва,Высшее,Месячный,4,5.0,0,0
CL44400533,20,92243.0,Казань,Высшее,Месячный,63,6.0,0,0
CL44400367,48,67839.0,Севастополь,Среднее,Годовой,12,7.0,2,0
CL44400647,50,,Санкт‑Петербург,Высшее,Годовой,49,4.0,0,0
CL44400617,55,81219.0,Казань,Среднее специальное,Месячный,16,55.0,0,0
CL44400535,54,75302.0,Санкт‑Петербург,Высшее,Двухлетний,20,13.0,0,0
CL44400520,38,95718.0,Москва,Среднее специальное,Годовой,6,5.0,1,0
CL44400545,35,87195.0,москва ,,Месячный,26,8.0,0,0
CL44400007,53,101417.0,Москва,Высшее,Месячный,61,5.0,0,0
CL44400406,65,56012.0,Москва,Среднее,Годовой,17,9.0,1,0
CL44400509,37,137691.0,Новосибирск,Среднее специальное,Месячный,53,9.0,0,0
CL44400003,21,43295.0,,Магистратура,Двухлетний,15,8.0,0,0
CL44400037,55,24658.0,Москва,Среднее,Месячный,41,2.0,1,0
CL44400484,24,65302.0,Санкт‑Петербург,Среднее специальное,Двухлетний,43,8.0,1,0
CL44400542,20,100531.0,Санкт‑Петербург,Среднее специальное,Месячный,39,3.0,1,0
CL44400270,47,48026.0,Казань,Среднее специальное,Годовой,24,8.0,1,0
CL44400149,19,93251.0,Казань,Среднее,Двухлетний,61,8.0,0,0
CL44400220,26,44096.0,Санкт‑Петербург,Высшее,Годовой,52,5.0,1,0
CL44400170,44,100363.0,Казань,Высшее,Годовой,9,8.0,0,0
CL44400335,58,53561.0,Новосибирск,Магистратура,Годовой,57,4.0,2,0
CL44400148,31,70000.0,Москва,Магистратура,Годовой,2,4.0,0,0
CL44400624,43,52882.0,Казань,Среднее,Месячный,37,7.0,2,1
CL44400381,42,56005.0,Новосибирск,Среднее,Двухлетний,63,6.0,1,1
CL44400610,45,70103.0,Санкт‑Петербург,Среднее,Годовой,33,8.0,1,0
CL44400308,59,58942.0,,Среднее,Месячный,31,6.0,0,0
CL44400555,61,,,Среднее специальное,Двухлетний,40,8.0,1,0
CL44400013,35,,Санкт‑Петербург,Среднее,Месячный,37,7.0,0,0
CL44400310,56,36817.0,Симферополь,Высшее,Месячный,71,6.0,1,1
CL44400526,65,287499.0,,Среднее специальное,Месячный,59,36.0,0,1
CL44400142,50,97696.0,,Среднее специальное,Месячный,44,8.0,1,0
CL44400073,51,112964.0,Санкт‑Петербург,Среднее,Месячный,62,2.0,2,0
CL44400378,63,110939.0,,Среднее специальное,Месячный,34,7.0,1,0
CL44400157,44,40282.0,Казань,Высшее,Годовой,63,5.0,1,0
CL44400560,49,37098.0,Новосибирск,,Месячный,58,5.0,3,1
CL44400118,48,37985.0,Санкт‑Петербург,Среднее специальное,Двухлетний,28,,0,0
CL44400472,38,72631.0,Санкт‑Петербург,Среднее специальное,Месячный,59,48.0,1,0
CL44400011,25,9418.0,Москва,Среднее,Годовой,3,3.0,0,0
CL44400387,43,66487.0,Новосибирск,Среднее специальное,Годовой,48,9.0,0,0
CL44400605,30,92567.0,Москва,Среднее специальное,Месячный,6,10.0,3,1
CL44400471,64,43496.0,Казань,,Годовой,11,6.0,0,0
CL44400608,60,79918.0,Севастополь,Среднее,Месячный,31,8.0,2,0
CL44400588,58,100252.0,Симферополь,Магистратура,Годовой,30,7.0,2,0
CL44400283,43,215418.0,Новосибирск,Магистратура,Двухлетний,33,7.0,0,0
CL44400240,37,,Казань,Магистратура,Месячный,67,3.0,3,0
CL44400058,66,60492.0,Новосибирск,Среднее специальное,Месячный,16,7.0,2,0
CL44400110,37,82503.0,Санкт‑Петербург,Высшее,Месячный,51,4.0,1,1
CL44400573,56,34995.0,Москва,Высшее,Годовой,20,4.0,0,0
CL44400084,55,48117.0,Москва,Высшее,Годовой,13,4.0,1,0
CL44400346,46,84021.0,Москва,Среднее,Месячный,15,0.0,3,1
CL44400049,59,60713.0,Симферополь,Магистратура,Месячный,1,4.0,2,1
CL44400246,48,36791.0,Москва,Среднее специальное,Месячный,21,6.0,3,1
CL44400070,24,,Москва,Высшее,Месячный,28,4.0,0,0
CL44400631,41,46843.0,Новосибирск,Среднее специальное,Двухлетний,9,7.0,1,0
CL44400120,22,63002.0,Москва,Среднее специальное,Месячный,26,,1,0
CL44400071,34,75338.0,,Среднее,Месячный,20,6.0,0,1
CL44400115,50,53594.0,,Магистратура,Двухлетний,0,2.0,1,0
CL44400429,62,,Новосибирск,Высшее,Месячный,38,6.0,1,1
CL44400365,34,17486.0,Новосибирск,Высшее,Годовой,7,6.0,0,1
CL44400351,47,82951.0,Симферополь,Среднее,Месячный,46,7.0,0,0
CL44400285,57,56397.0,Санкт‑Петербург,Магистратура,Месячный,65,5.0,0,1
CL44400271,63,79715.0,Новосибирск,Среднее специальное,Месячный,68,9.0,1,0
CL44400292,46,65089.0,,Среднее,Годовой,47,6.0,1,0
CL44400164,35,76482.0,Москва,Среднее,Месячный,56,8.0,1,0
CL44400295,37,65041.0,Санкт‑Петербург,,Двухлетний,57,4.0,0,0
CL44400116,31,96703.0,Севастополь,Среднее,Годовой,4,11.0,0,0
CL44400135,50,61622.0,Севастополь,Среднее,Годовой,53,7.0,3,0
CL44400422,47,70333.0,Москва,Высшее,Годовой,67,9.0,2,0
CL44400294,37,113044.0,Москва,Высшее,Годовой,59,5.0,2,0
CL44400477,45,38704.0,Санкт‑Петербург,Среднее специальное,Месячный,0,5.0,2,1
CL44400021,28,88906.0,Симферополь,Среднее специальное,Двухлетний,46,4.0,1,0
CL44400580,44,40671.0,Симферополь,Среднее,Двухлетний,5,,1,0
CL44400445,49,49523.0,Севастополь,Высшее,Годовой,1,10.0,1,0
CL44400480,41,47222.0,Симферополь,Высшее,Годовой,62,6.0,2,0
CL44400460,46,58546.0,Санкт‑Петербург,Среднее специальное,Годовой,16,4.0,2,0
CL44400446,65,54569.0,Севастополь,Высшее,Годовой,65,3.0,0,0
CL44400222,64,83355.0,Москва,Среднее специальное,Годовой,15,12.0,1,0
CL44400034,58,116300.0,Москва,Высшее,Месячный,1,4.0,0,0
CL44400592,41,93963.0,Санкт‑Петербург,Магистратура,Месячный,25,7.0,2,0
CL44400641,25,63184.0,Новосибирск,Среднее специальное,Месячный,42,1.0,1,1
CL44400558,38,28788.0,Москва,Магистратура,Двухлетний,30,,0,0
CL44400508,62,70539.0,Санкт‑Петербург,Среднее специальное,Месячный,29,6.0,2,0
CL44400284,26,71370.0,Новосибирск,Среднее,Месячный,20,6.0,2,0
CL44400564,18,120448.0,,Высшее,Годовой,10,,1,0
CL44400179,34,56371.0,Казань,Среднее специальное,Месячный,45,11.0,3,0
CL44400247,31,74078.0,Новосибирск,Высшее,Годовой,25,5.0,3,0
CL44400062,21,37176.0,Москва,,Месячный,4,8.0,2,0
CL44400124,23,59523.0,Новосибирск,Высшее,Годовой,25,4.0,1,0
CL44400290,35,61566.0,,Высшее,Месячный,25,4.0,1,0
CL44400515,60,45704.0,Казань,,Годовой,63,7.0,1,0
CL44400505,23,86886.0,Санкт‑Петербург,Среднее специальное,Месячный,28,3.0,1,0
CL44400101,53,105326.0,Москва,Высшее,Месячный,14,9.0,3,0
CL44400615,40,30826.0,Москва,Среднее,Годовой,64,12.0,1,0
CL44400344,23,66722.0,Симферополь,Среднее,Годовой,23,3.0,1,0
CL44400257,36,82937.0,Севастополь,Магистратура,Годовой,50,4.0,0,0
CL44400565,22,69082.0,Москва,Среднее специальное,Месячный,8,7.0,5,0
CL44400406,65,56012.0,Москва,Среднее,Годовой,17,9.0,1,0
CL44400620,38,51536.0,Санкт‑Петербург,Среднее специальное,Месячный,25,8.0,0,0
CL44400486,19,42468.0,Москва,Высшее,Двухлетний,9,13.0,2,0
CL44400531,36,63276.0,Новосибирск,Среднее,Месячный,60,7.0,0,0
CL44400400,55,63518.0,Симферополь,,Месячный,4,7.0,1,0
CL44400044,49,70063.0,Симферополь,Среднее,Месячный,6,6.0,2,0
CL44400113,21,105931.0,Москва,Среднее,Месячный,9,5.0,3,0
CL44400233,36,32739.0,Санкт‑Петербург,Высшее,Годовой,16,,3,0
CL44400004,20,38642.0,Санкт‑Петербург,,Месячный,10,8.0,2,0
CL44400591,22,22069.0,Симферополь,Среднее специальное,Месячный,15,2.0,1,1
CL44400489,55,86254.0,Москва,Магистратура,Годовой,37,,1,0
CL44400355,47,68778.0,Симферополь,Высшее,Годовой,70,5.0,1,0
CL44400518,61,23553.0,Севастополь,Среднее,Месячный,51,3.0,0,0
CL44400088,120,61313.0,Новосибирск,Магистратура,Годовой,30,4.0,0,0
CL44400487,29,78219.0,Симферополь,Высшее,Месячный,23,9.0,2,1
CL44400025,65,,Новосибирск,Магистратура,Годовой,25,2.0,0,0
CL44400256,45,61295.0,Москва,Высшее,Месячный,55,,3,0
CL44400491,35,,Санкт‑Петербург,Среднее,Годовой,68,9.0,1,0
CL44400096,54,72347.0,Севастополь,Высшее,Месячный,61,7.0,4,0
CL44400360,22,68082.0,Казань,Высшее,Годовой,2,13.0,0,0
CL44400174,65,,Санкт‑Петербург,Магистратура,Месячный,55,6.0,4,1
CL44400244,50,30853.0,Санкт‑Петербург,Среднее специальное,Годовой,37,,3,0
