event_id,event_time,entity_id,district,source_system,event_type,metric_volume,metric_value,latency_ms,priority,status
EV12_0000039,2025-09-01 01:17:00,БАН_01508,Сектор-Ж,mobile,authorize,6,432.09,210.8,high,delayed
EV12_0000040,2025-09-01 01:18:00,БАН_02930,Сектор-Е,batch_loader,clear,5,348.67,211.8,low,ok
EV12_0000041,2025-09-01 01:21:00,БАН_00618,Сектор-В,iot,clear,6,263.0,362.5,low,ok
EV12_0000042,2025-09-01 01:21:00,БАН_01363,Сектор-Е,iot,transfer,3,580.49,476.6,high,ok
EV12_0000043,2025-09-01 01:22:00,БАН_02764,Сектор-Д,batch_loader,clear,4,1292.55,333.6,high,ok
EV12_0000044,2025-09-01 01:22:00,БАН_00678,Сектор-Ж,mobile,cash_withdraw,8,760.89,370.1,low,ok
EV12_0000045,2025-09-01 01:22:00,БАН_02213,Сектор-Г,iot,clear,6,2631.45,63.9,high,ok
EV12_0000046,2025-09-01 01:24:00,БАН_01272,Сектор-Ж,iot,cash_withdraw,9,1858.05,374.2,high,ok
EV12_0000047,2025-09-01 01:26:00,БАН_01769,Сектор-Г,iot,fraud_alert,3,2353.5,342.4,medium,ok
EV12_0000048,2025-09-01 01:27:00,БАН_03004,Сектор-В,api,clear,7,510.08,246.5,medium,ok
EV12_0000049,2025-09-01 01:28:00,БАН_02829,Сектор-В,iot,authorize,7,229.19,277.9,low,ok
EV12_0000050,2025-09-01 01:29:00,БАН_01088,Сектор-А,mobile,clear,7,430.29,175.6,critical,ok
EV12_0000051,2025-09-01 01:33:00,БАН_03421,Сектор-Б,iot,cash_withdraw,5,1780.21,159.4,medium,ok
EV12_0000052,2025-09-01 01:33:00,БАН_00640,Сектор-Ж,edge,fraud_alert,7,1626.98,259.6,low,ok
EV12_0000053,2025-09-01 01:34:00,БАН_00141,Сектор-Б,mobile,clear,13,2428.97,203.9,low,ok
EV12_0000054,2025-09-01 01:34:00,БАН_00919,Сектор-Г,edge,clear,9,829.1,175.2,low,ok
EV12_0000055,2025-09-01 01:34:00,БАН_02636,Сектор-Е,iot,fraud_alert,9,395.98,262.8,low,ok
EV12_0000056,2025-09-01 01:35:00,БАН_00152,Сектор-З,batch_loader,authorize,7,1651.79,126.0,low,ok
EV12_0000057,2025-09-01 01:35:00,БАН_01267,Сектор-В,iot,clear,4,937.45,291.4,low,ok
EV12_0000058,2025-09-01 01:38:00,БАН_01584,Сектор-А,edge,authorize,4,1234.77,225.9,critical,delayed
EV12_0000059,2025-09-01 01:40:00,БАН_03122,Сектор-В,mobile,cash_withdraw,10,463.45,316.3,low,ok
EV12_0000060,2025-09-01 01:40:00,БАН_02381,Сектор-З,mobile,transfer,6,303.03,220.5,low,ok
EV12_0000061,2025-09-01 01:41:00,БАН_00530,Сектор-Ж,edge,fraud_alert,5,1055.07,288.8,medium,ok
EV12_0000062,2025-09-01 01:41:00,БАН_00674,Сектор-Д,mobile,transfer,3,690.38,202.6,low,ok
EV12_0000063,2025-09-01 01:42:00,БАН_00400,Сектор-В,batch_loader,transfer,9,1146.39,254.4,medium,ok
EV12_0000064,2025-09-01 01:43:00,БАН_01960,Сектор-Б,batch_loader,clear,7,1168.61,138.7,medium,ok
EV12_0000065,2025-09-01 01:44:00,БАН_00015,Сектор-Г,mobile,authorize,5,508.7,137.9,low,ok
EV12_0000066,2025-09-01 01:46:00,БАН_01742,Сектор-Б,portal,cash_withdraw,9,1139.41,288.5,low,ok
EV12_0000067,2025-09-01 01:48:00,БАН_00030,Сектор-Д,mobile,clear,4,2416.86,193.5,low,ok
EV12_0000068,2025-09-01 01:51:00,БАН_02632,Сектор-А,edge,authorize,8,741.83,201.8,critical,ok
EV12_0000069,2025-09-01 01:53:00,БАН_02572,Сектор-Б,api,clear,11,391.96,433.9,low,ok
EV12_0000070,2025-09-01 01:55:00,БАН_02249,Сектор-Б,portal,authorize,9,726.46,195.4,low,ok
EV12_0000071,2025-09-01 02:01:00,БАН_00802,Сектор-А,iot,authorize,8,1430.93,188.1,medium,warning
EV12_0000072,2025-09-01 02:03:00,БАН_02703,Сектор-Г,iot,cash_withdraw,4,650.09,352.0,medium,ok
EV12_0000073,2025-09-01 02:03:00,БАН_01952,Сектор-Г,iot,transfer,12,468.4,325.4,low,ok
EV12_0000074,2025-09-01 02:06:00,БАН_02998,Сектор-Б,api,fraud_alert,9,1629.51,248.5,high,ok
EV12_0000075,2025-09-01 02:06:00,БАН_00630,Сектор-А,batch_loader,authorize,5,1824.97,293.5,medium,ok
EV12_0000076,2025-09-01 02:07:00,БАН_03036,Сектор-Ж,mobile,fraud_alert,7,1265.98,215.3,low,ok
EV12_0000077,2025-09-01 02:08:00,БАН_00862,Сектор-В,iot,authorize,12,1422.65,378.0,low,ok
EV12_0000078,2025-09-01 02:10:00,БАН_02946,Сектор-Ж,api,authorize,12,704.84,316.1,low,ok
EV12_0000079,2025-09-01 02:10:00,БАН_01657,Сектор-З,api,clear,6,1178.78,30.0,low,ok
EV12_0000080,2025-09-01 02:15:00,БАН_01872,Сектор-Д,iot,cash_withdraw,5,1592.2,305.2,medium,ok
EV12_0000081,2025-09-01 02:15:00,БАН_00426,Сектор-Г,batch_loader,authorize,8,442.32,99.9,high,ok
EV12_0000082,2025-09-01 02:19:00,БАН_02453,Сектор-А,batch_loader,cash_withdraw,5,785.64,315.1,high,delayed
EV12_0000083,2025-09-01 02:23:00,БАН_00455,Сектор-В,mobile,transfer,11,951.02,132.6,medium,ok
EV12_0000084,2025-09-01 02:23:00,БАН_00928,Сектор-Г,mobile,cash_withdraw,6,1529.48,67.4,low,ok
EV12_0000085,2025-09-01 02:24:00,БАН_01572,Сектор-А,edge,clear,9,1586.21,217.1,low,ok
EV12_0000086,2025-09-01 02:24:00,БАН_00221,Сектор-Г,batch_loader,clear,10,1002.96,239.0,low,ok
EV12_0000087,2025-09-01 02:27:00,БАН_01310,Сектор-З,batch_loader,fraud_alert,7,1469.03,172.4,medium,delayed
EV12_0000088,2025-09-01 02:28:00,БАН_02571,Сектор-А,edge,clear,9,1330.92,374.1,low,ok
EV12_0000089,2025-09-01 02:32:00,БАН_01753,Сектор-З,api,clear,3,980.76,261.2,low,ok
EV12_0000090,2025-09-01 02:34:00,БАН_02702,Сектор-Г,portal,cash_withdraw,6,999.48,304.0,low,ok
EV12_0000091,2025-09-01 02:37:00,БАН_02256,Сектор-Е,api,transfer,4,1296.47,358.3,medium,ok
EV12_0000092,2025-09-01 02:37:00,БАН_00887,Сектор-Д,api,transfer,6,1810.44,287.0,low,ok
EV12_0000093,2025-09-01 02:37:00,БАН_00852,Сектор-З,portal,cash_withdraw,8,180.21757845433999,150.1,high,failed
EV12_0000094,2025-09-01 02:39:00,БАН_00140,Сектор-В,iot,fraud_alert,6,781.19,235.1,medium,ok
EV12_0000095,2025-09-01 02:41:00,БАН_02732,Сектор-А,batch_loader,cash_withdraw,5,2248.74,140.0,high,ok
EV12_0000096,2025-09-01 02:45:00,БАН_03339,Сектор-Ж,iot,authorize,8,1551.39,165.1,medium,ok
EV12_0000097,2025-09-01 02:45:00,БАН_02900,Сектор-В,iot,authorize,4,337.0318305716298,210.5,medium,failed
EV12_0000098,2025-09-01 02:47:00,БАН_01699,Сектор-З,edge,fraud_alert,6,930.34,847.479309907032,medium,warning
EV12_0000099,2025-09-01 02:47:00,БАН_02054,Сектор-А,batch_loader,clear,5,1445.58,295.8,medium,ok
EV12_0000100,2025-09-01 02:48:00,БАН_02578,Сектор-З,iot,authorize,4,945.09,130.4,low,ok
EV12_0000101,2025-09-01 02:50:00,БАН_03149,Сектор-З,mobile,clear,3,841.96,218.6,high,ok
EV12_0000102,2025-09-01 02:54:00,БАН_00595,Сектор-Ж,edge,authorize,9,354.92,298.9,low,ok
EV12_0000103,2025-09-01 02:56:00,БАН_00665,Сектор-Д,portal,cash_withdraw,6,745.92,425.1,critical,ok
EV12_0000104,2025-09-01 02:57:00,БАН_02562,Сектор-Г,mobile,transfer,5,1013.98,338.1,low,failed
EV12_0000105,2025-09-01 02:57:00,БАН_03431,Сектор-Б,iot,transfer,6,535.9,240.5,medium,ok
EV12_0000106,2025-09-01 02:57:00,БАН_00578,Сектор-А,portal,fraud_alert,2,628.3,189.6,high,delayed
EV12_0000107,2025-09-01 03:01:00,БАН_00240,Сектор-Е,batch_loader,authorize,7,422.66,332.0,medium,ok
EV12_0000108,2025-09-01 03:02:00,БАН_00922,Сектор-З,mobile,authorize,5,1080.22,173.3,medium,ok
EV12_0000109,2025-09-01 03:02:00,БАН_01145,Сектор-В,iot,cash_withdraw,2,574.75,225.0,high,warning
EV12_0000110,2025-09-01 03:08:00,БАН_02463,Сектор-Е,iot,clear,10,1220.63,217.1,medium,ok
EV12_0000111,2025-09-01 03:08:00,БАН_01305,Сектор-В,mobile,transfer,6,1083.2,304.9,low,ok
EV12_0000112,2025-09-01 03:10:00,БАН_03034,Сектор-Д,iot,cash_withdraw,5,681.08,304.6,medium,ok
EV12_0000113,2025-09-01 03:11:00,БАН_02227,Сектор-В,edge,authorize,4,2297.08,101.5,low,ok
EV12_0000114,2025-09-01 03:12:00,БАН_00408,Сектор-З,iot,cash_withdraw,6,670.37,216.9,medium,ok
EV12_0000115,2025-09-01 03:18:00,БАН_00982,Сектор-Д,batch_loader,clear,7,1219.38,171.4,low,ok
EV12_0000116,2025-09-01 03:21:00,БАН_03308,Сектор-Д,mobile,transfer,5,1374.54,148.2,low,warning
EV12_0000117,2025-09-01 03:21:00,БАН_00040,Сектор-Г,edge,transfer,3,696.02,432.2,high,ok
EV12_0000118,2025-09-01 03:23:00,БАН_01625,Сектор-Е,portal,transfer,6,2212.28,250.6,low,ok
EV12_0000119,2025-09-01 03:23:00,БАН_00371,Сектор-Ж,batch_loader,fraud_alert,6,1455.01,348.6,low,ok
EV12_0000120,2025-09-01 03:23:00,БАН_00360,Сектор-В,portal,cash_withdraw,11,1820.86,577.6443065078649,medium,warning
EV12_0000121,2025-09-01 03:25:00,БАН_00751,Сектор-Д,iot,transfer,8,2255.19,202.8,critical,ok
EV12_0000122,2025-09-01 03:26:00,БАН_02271,Сектор-А,iot,clear,5,540.21,241.2,medium,ok
EV12_0000123,2025-09-01 03:27:00,БАН_02959,Сектор-А,batch_loader,transfer,3,548.77,119.3,low,ok
EV12_0000124,2025-09-01 03:27:00,БАН_00559,Сектор-Д,mobile,authorize,2,1620.19,182.1,low,ok
EV12_0000125,2025-09-01 03:33:00,БАН_01546,Сектор-А,api,clear,7,596.84,291.9,low,ok
EV12_0000126,2025-09-01 03:34:00,БАН_02853,Сектор-Б,edge,cash_withdraw,6,1403.33,102.8,low,ok
EV12_0000127,2025-09-01 03:34:00,БАН_01453,Сектор-З,batch_loader,transfer,3,1671.01,201.3,high,ok
EV12_0000128,2025-09-01 03:34:00,БАН_03306,Сектор-Е,batch_loader,fraud_alert,7,274.07,246.0,medium,ok
EV12_0000129,2025-09-01 03:36:00,БАН_03438,Сектор-А,edge,fraud_alert,7,1773.52,263.1,low,ok
EV12_0000130,2025-09-01 03:37:00,БАН_03226,Сектор-В,edge,cash_withdraw,6,364.25,337.7,low,warning
EV12_0000131,2025-09-01 03:39:00,БАН_02870,Сектор-В,portal,authorize,5,1301.86,269.9,medium,delayed
EV12_0000132,2025-09-01 03:44:00,БАН_00060,Сектор-Е,api,authorize,5,478.6,304.9,low,ok
EV12_0000133,2025-09-01 03:45:00,БАН_01520,Сектор-В,edge,cash_withdraw,9,868.95,704.7257508403708,low,warning
EV12_0000134,2025-09-01 03:50:00,БАН_02362,Сектор-Б,batch_loader,authorize,3,1591.02,106.8,low,ok
EV12_0000135,2025-09-01 03:52:00,БАН_02497,Сектор-З,mobile,authorize,5,371.15,169.6,medium,ok
EV12_0000136,2025-09-01 03:57:00,БАН_01892,Сектор-Ж,portal,transfer,9,2629.84,320.6,low,ok
EV12_0000137,2025-09-01 03:59:00,БАН_03268,Сектор-Д,batch_loader,clear,5,1177.23,237.3,low,warning
EV12_0000138,2025-09-01 04:00:00,БАН_01599,Сектор-В,batch_loader,authorize,7,1056.23,240.7,low,ok
EV12_0000139,2025-09-01 04:01:00,БАН_00268,Сектор-Г,batch_loader,authorize,6,966.59,194.0,high,ok
EV12_0000140,2025-09-01 04:05:00,БАН_00067,Сектор-А,api,fraud_alert,10,438.55,244.9,low,ok
EV12_0000141,2025-09-01 04:07:00,БАН_02664,Сектор-Д,mobile,authorize,7,1623.11,165.2,high,ok
EV12_0000142,2025-09-01 04:07:00,БАН_02354,Сектор-Е,batch_loader,clear,5,1270.98,241.7,medium,ok
EV12_0000143,2025-09-01 04:11:00,БАН_00552,Сектор-Б,api,transfer,11,1181.58,245.5,medium,ok
EV12_0000144,2025-09-01 04:11:00,БАН_01286,Сектор-Д,batch_loader,fraud_alert,6,532.67,147.5,medium,ok
EV12_0000145,2025-09-01 04:14:00,БАН_03404,Сектор-В,batch_loader,authorize,3,1085.3,189.9,low,ok
EV12_0000146,2025-09-01 04:14:00,БАН_00440,Сектор-В,edge,transfer,5,2695.91,307.9,low,ok
EV12_0000147,2025-09-01 04:15:00,БАН_02917,Сектор-Г,iot,authorize,8,360.18,335.7,high,delayed
EV12_0000148,2025-09-01 04:15:00,БАН_00988,Сектор-Ж,edge,cash_withdraw,6,1409.76,229.4,low,warning
EV12_0000149,2025-09-01 04:16:00,БАН_01953,Сектор-Б,edge,clear,8,784.19,313.6,low,ok
EV12_0000150,2025-09-01 04:21:00,БАН_03023,Сектор-В,portal,fraud_alert,4,675.15,211.2,low,delayed
EV12_0000151,2025-09-01 04:21:00,БАН_02900,Сектор-Ж,api,transfer,8,1625.63,127.0,high,ok
EV12_0000152,2025-09-01 04:22:00,БАН_00675,Сектор-Ж,iot,authorize,4,893.92,137.5,low,ok
EV12_0000153,2025-09-01 04:22:00,БАН_00951,Сектор-Е,batch_loader,authorize,7,1667.03,185.2,high,ok
EV12_0000154,2025-09-01 04:23:00,БАН_00516,Сектор-Е,mobile,authorize,8,708.6,191.0,low,ok
EV12_0000155,2025-09-01 04:23:00,БАН_02713,Сектор-В,iot,transfer,7,1418.82,274.4,high,ok
EV12_0000156,2025-09-01 04:23:00,БАН_00469,Сектор-А,mobile,authorize,10,2533.86,220.5,low,ok
EV12_0000157,2025-09-01 04:26:00,БАН_01288,Сектор-Е,portal,cash_withdraw,7,682.11,264.9,low,ok
EV12_0000158,2025-09-01 04:26:00,БАН_01094,Сектор-Д,portal,authorize,3,937.51,314.7,low,ok
EV12_0000159,2025-09-01 04:34:00,БАН_02845,Сектор-В,portal,fraud_alert,5,1687.19,227.9,medium,delayed
EV12_0000160,2025-09-01 04:35:00,БАН_00698,Сектор-Г,batch_loader,authorize,6,1791.56,123.6,low,ok
EV12_0000161,2025-09-01 04:35:00,БАН_02147,Сектор-Е,batch_loader,authorize,12,721.16,174.2,high,ok
EV12_0000162,2025-09-01 04:35:00,БАН_02998,Сектор-Д,iot,clear,6,672.25,295.3,high,ok
EV12_0000163,2025-09-01 04:36:00,БАН_01582,Сектор-Д,batch_loader,cash_withdraw,10,590.47,273.7,critical,ok
EV12_0000164,2025-09-01 04:36:00,БАН_03170,Сектор-В,iot,transfer,10,636.94,347.8,medium,warning
EV12_0000165,2025-09-01 04:39:00,БАН_01589,Сектор-В,mobile,authorize,3,1186.22,397.9,low,ok
EV12_0000166,2025-09-01 04:40:00,БАН_01265,Сектор-В,api,authorize,8,567.69,288.7,low,delayed
EV12_0000167,2025-09-01 04:41:00,БАН_00189,Сектор-Г,batch_loader,clear,8,884.78,238.8,critical,delayed
EV12_0000168,2025-09-01 04:42:00,БАН_01382,Сектор-Е,mobile,transfer,4,1418.79,149.8,medium,ok
EV12_0000169,2025-09-01 04:44:00,БАН_00808,Сектор-А,api,cash_withdraw,3,1986.36,261.6,low,ok
EV12_0000170,2025-09-01 04:47:00,БАН_01740,Сектор-Б,iot,authorize,6,1373.53,225.5,low,ok
EV12_0000171,2025-09-01 04:49:00,БАН_02632,Сектор-Г,mobile,clear,9,954.52,357.8,low,ok
EV12_0000172,2025-09-01 04:50:00,БАН_01617,Сектор-Д,iot,fraud_alert,8,682.82,171.0,high,ok
EV12_0000173,2025-09-01 04:51:00,БАН_00392,Сектор-З,,fraud_alert,8,1422.77,268.2,medium,ok
EV12_0000174,2025-09-01 04:51:00,БАН_00940,Сектор-Е,api,clear,5,1209.05,151.8,medium,ok
EV12_0000175,2025-09-01 04:53:00,БАН_01702,Сектор-В,edge,cash_withdraw,10,1499.75,301.0,medium,ok
EV12_0000176,2025-09-01 04:53:00,БАН_02904,Сектор-Е,batch_loader,cash_withdraw,6,1313.84,218.8,high,delayed
EV12_0000177,2025-09-01 04:54:00,БАН_00570,Сектор-З,api,clear,7,1164.33,222.4,low,failed
EV12_0000178,2025-09-01 04:54:00,БАН_02610,Сектор-А,batch_loader,cash_withdraw,7,700.75,234.9,high,ok
EV12_0000179,2025-09-01 04:54:00,БАН_00189,Сектор-З,api,transfer,8,1411.23,339.2,high,ok
EV12_0000180,2025-09-01 04:57:00,БАН_02950,Сектор-Е,batch_loader,cash_withdraw,7,374.87,251.2,low,ok
EV12_0000181,2025-09-01 04:57:00,БАН_00617,Сектор-З,edge,cash_withdraw,4,1006.61,156.2,low,ok
EV12_0000182,2025-09-01 04:59:00,БАН_00617,Сектор-Ж,iot,clear,16,357.37,766.578714677258,low,warning
EV12_0000183,2025-09-01 05:01:00,БАН_01526,Сектор-Г,iot,fraud_alert,8,881.11,241.0,medium,ok
EV12_0000184,2025-09-01 05:02:00,БАН_02208,Сектор-Б,mobile,transfer,5,691.8,340.1,high,ok
EV12_0000185,2025-09-01 05:03:00,БАН_03212,Сектор-В,batch_loader,authorize,3,1635.23,307.7,high,ok
EV12_0000186,2025-09-01 05:04:00,БАН_02946,Сектор-Е,batch_loader,authorize,10,692.54,300.8,low,warning
EV12_0000187,2025-09-01 05:06:00,БАН_02039,Сектор-А,portal,clear,6,588.86,336.2,medium,ok
EV12_0000188,2025-09-01 05:11:00,БАН_02808,Сектор-Е,api,clear,7,230.0,291.5,medium,ok
EV12_0000189,2025-09-01 05:13:00,БАН_00835,Сектор-А,iot,fraud_alert,6,651.66,195.8,high,ok
EV12_0000190,2025-09-01 05:14:00,БАН_01479,Сектор-З,api,transfer,5,1154.67,279.7,medium,ok
EV12_0000191,2025-09-01 05:19:00,БАН_01114,Сектор-Е,iot,authorize,7,1587.11,443.8,medium,ok
EV12_0000192,2025-09-01 05:20:00,БАН_00719,Сектор-А,edge,authorize,2,1168.24,186.3,low,ok
EV12_0000193,2025-09-01 05:21:00,БАН_01572,Сектор-Д,portal,authorize,7,2220.95,124.0,low,ok
EV12_0000194,2025-09-01 05:23:00,БАН_00122,Сектор-В,mobile,authorize,9,239.71,159.5,medium,ok
EV12_0000195,2025-09-01 05:24:00,БАН_01790,Сектор-Д,edge,transfer,7,336.89,284.9,medium,ok
EV12_0000196,2025-09-01 05:27:00,БАН_02990,Сектор-В,edge,transfer,6,685.29,304.0,critical,ok
EV12_0000197,2025-09-01 05:27:00,БАН_02812,Сектор-Д,api,clear,11,1047.72,233.2,high,ok
EV12_0000198,2025-09-01 05:30:00,БАН_01552,Сектор-Д,api,transfer,7,1258.79,314.7,high,ok
EV12_0000199,2025-09-01 05:30:00,БАН_01261,Сектор-З,batch_loader,fraud_alert,11,482.22,254.0,medium,ok
EV12_0000200,2025-09-01 05:30:00,БАН_01252,Сектор-Ж,portal,fraud_alert,7,471.46,295.9,low,ok
EV12_0000201,2025-09-01 05:32:00,БАН_00924,Сектор-Б,batch_loader,clear,10,1573.55,85.7,low,warning
EV12_0000202,2025-09-01 05:33:00,БАН_02258,Сектор-Е,mobile,authorize,5,3521.69,283.5,low,ok
EV12_0000203,2025-09-01 05:33:00,БАН_02886,Сектор-Г,iot,transfer,5,163.17512071030566,232.0,low,failed
EV12_0000204,2025-09-01 05:34:00,БАН_02115,Сектор-В,portal,clear,3,1568.47,185.0,medium,delayed
EV12_0000205,2025-09-01 05:35:00,БАН_00620,Сектор-Д,batch_loader,cash_withdraw,5,1005.29,340.7,low,ok
EV12_0000206,2025-09-01 05:37:00,БАН_02300,Сектор-Д,iot,clear,3,1121.13,419.1,low,ok
EV12_0000207,2025-09-01 05:38:00,БАН_01747,Сектор-Е,mobile,cash_withdraw,6,969.73,183.8,low,ok
EV12_0000208,2025-09-01 05:38:00,БАН_01833,Сектор-А,iot,authorize,8,748.01,171.3,low,ok
EV12_0000209,2025-09-01 05:39:00,БАН_03015,Сектор-Г,api,clear,2,1247.65,260.0,low,ok
EV12_0000210,2025-09-01 05:39:00,БАН_03063,Сектор-Е,api,authorize,5,288.81,211.4,low,ok
EV12_0000211,2025-09-01 05:39:00,БАН_00933,Сектор-В,portal,transfer,5,582.95,361.2,low,ok
EV12_0000212,2025-09-01 05:40:00,БАН_00655,Сектор-Б,batch_loader,cash_withdraw,9,1216.48,229.9,medium,warning
EV12_0000213,2025-09-01 05:42:00,БАН_02656,Сектор-Г,mobile,clear,7,1384.36,380.2,low,delayed
EV12_0000214,2025-09-01 05:47:00,БАН_02490,Сектор-З,mobile,authorize,4,919.54,166.6,high,ok
EV12_0000215,2025-09-01 05:47:00,БАН_00273,Сектор-Г,portal,authorize,6,1559.43,316.8,critical,ok
EV12_0000216,2025-09-01 05:47:00,БАН_01408,Сектор-Ж,iot,authorize,6,671.13,236.4,high,ok
EV12_0000217,2025-09-01 05:49:00,БАН_01660,Сектор-Д,api,clear,6,1180.42,198.7,medium,ok
EV12_0000218,2025-09-01 05:49:00,БАН_03149,Сектор-Ж,api,cash_withdraw,5,2463.26,348.4,high,ok
EV12_0000219,2025-09-01 05:51:00,БАН_03042,Сектор-Е,batch_loader,clear,5,1045.42,247.5,medium,delayed
EV12_0000220,2025-09-01 05:57:00,БАН_01909,Сектор-Е,mobile,authorize,3,641.12,136.2,low,ok
EV12_0000221,2025-09-01 05:59:00,БАН_03225,Сектор-Г,batch_loader,transfer,4,1124.74,293.7,medium,ok
EV12_0000222,2025-09-01 05:59:00,БАН_03477,Сектор-Е,batch_loader,transfer,9,1003.12,244.9,low,ok
EV12_0000223,2025-09-01 06:03:00,БАН_01857,Сектор-Б,api,cash_withdraw,3,1616.01,299.6,high,ok
EV12_0000224,2025-09-01 06:05:00,БАН_00249,Сектор-Б,api,fraud_alert,9,1503.51,254.7,low,ok
EV12_0000225,2025-09-01 06:07:00,БАН_03192,Сектор-Ж,api,clear,7,1735.83,412.2,low,ok
EV12_0000226,2025-09-01 06:09:00,БАН_01466,Сектор-В,batch_loader,cash_withdraw,5,1115.42,257.7,medium,ok
EV12_0000227,2025-09-01 06:09:00,БАН_00156,Сектор-В,portal,clear,5,3165.32,266.6,low,ok
EV12_0000228,2025-09-01 06:15:00,БАН_02531,Сектор-В,iot,authorize,7,1040.89,260.5,low,warning
EV12_0000229,2025-09-01 06:16:00,БАН_02993,Сектор-Е,mobile,clear,7,307.08,268.4,high,ok
EV12_0000230,2025-09-01 06:16:00,БАН_03070,Сектор-З,api,authorize,6,1232.13,274.9,high,ok
EV12_0000231,2025-09-01 06:17:00,БАН_00500,Сектор-Г,iot,clear,6,477.13,178.6,low,delayed
