event_id,city,campaign,device,source,segment,page,region,session_length_sec,items_viewed,converted
34,city_095,cmp_035,device_13,source_16,segment_07,page_149,region_03,132,5,1
35,city_091,cmp_016,device_20,source_16,segment_19,page_039,region_03,283,7,0
36,city_088,cmp_033,device_20,source_14,segment_08,page_004,region_02,203,8,0
37,city_049,cmp_011,device_19,source_03,segment_64,page_042,region_02,150,5,1
38,city_050,cmp_089,device_03,source_08,segment_02,page_070,region_05,136,8,0
39,city_089,cmp_059,device_16,source_22,segment_21,page_021,region_10,269,8,0
40,city_036,cmp_016,device_03,source_06,segment_10,page_078,region_06,256,8,1
41,city_015,cmp_093,device_07,source_28,segment_25,page_019,region_06,133,7,0
42,city_098,cmp_023,device_03,source_05,segment_49,page_145,region_09,245,4,0
43,city_074,cmp_057,device_07,source_12,segment_01,page_018,region_11,173,9,0
44,city_005,cmp_145,device_05,source_14,segment_13,page_091,region_07,257,6,1
45,city_009,cmp_108,device_18,source_02,segment_56,page_094,region_04,117,5,0
46,city_081,cmp_074,device_20,source_12,segment_15,page_070,region_03,210,5,0
47,city_023,cmp_074,device_03,source_04,segment_15,page_025,region_02,230,4,1
48,city_058,cmp_010,device_03,source_04,segment_15,page_046,region_07,302,11,0
49,city_009,cmp_051,device_03,source_12,segment_40,page_095,region_11,167,6,0
50,city_012,cmp_036,device_08,source_05,segment_63,page_044,region_11,150,4,0
51,city_062,cmp_054,device_17,source_14,segment_19,page_046,region_04,137,7,0
52,city_097,cmp_158,device_13,source_16,segment_66,page_067,region_02,156,9,0
53,city_040,cmp_115,device_07,source_17,segment_08,page_078,region_11,287,4,0
54,city_004,cmp_079,device_19,source_03,segment_59,page_113,region_07,149,9,0
55,city_017,cmp_096,device_08,source_07,segment_17,page_128,region_04,225,11,0
56,city_015,cmp_102,device_14,source_28,segment_08,page_007,region_02,224,9,0
57,city_090,cmp_052,device_07,source_28,segment_40,page_109,region_07,140,5,0
58,city_031,cmp_129,device_11,source_28,segment_13,page_083,region_03,241,6,0
59,city_093,cmp_079,device_07,source_14,segment_07,page_141,region_08,264,10,0
60,city_078,cmp_104,device_01,source_12,segment_28,page_039,region_09,176,6,0
61,city_035,cmp_002,device_10,source_12,segment_09,page_133,region_03,197,4,0
62,city_002,cmp_065,device_06,source_17,segment_29,page_014,region_03,186,6,1
63,city_095,cmp_041,device_08,source_02,segment_66,page_044,region_05,138,9,0
64,city_001,cmp_010,device_10,source_02,segment_01,page_047,region_06,234,6,1
65,city_077,cmp_083,device_07,source_05,segment_18,page_012,region_09,206,3,0
66,city_031,cmp_150,device_03,source_15,segment_34,page_042,region_01,222,9,1
67,city_023,cmp_103,device_14,source_04,segment_28,page_032,region_09,78,9,1
68,city_029,cmp_012,device_03,source_02,segment_33,page_114,region_11,230,6,0
69,city_026,cmp_010,device_03,source_02,segment_01,page_067,region_07,286,4,0
70,city_057,cmp_040,device_06,source_25,segment_30,page_012,region_03,173,6,0
71,city_046,cmp_029,device_02,source_15,segment_38,page_049,region_09,156,5,0
72,city_020,cmp_004,device_07,source_09,segment_34,page_026,region_03,253,4,0
73,city_041,cmp_009,device_14,source_02,segment_02,page_020,region_01,135,5,0
74,city_029,cmp_040,device_14,source_15,segment_05,page_054,region_03,61,7,0
75,city_086,cmp_017,device_07,source_15,segment_40,page_033,region_09,219,8,0
76,city_082,cmp_024,device_03,source_01,segment_07,page_056,region_04,173,10,0
77,city_050,cmp_129,device_19,source_06,segment_15,page_052,region_11,247,5,0
78,city_095,cmp_180,device_15,source_19,segment_24,page_025,region_09,213,9,0
79,city_028,cmp_120,device_01,source_24,segment_24,page_020,region_02,249,3,0
80,city_007,cmp_027,device_09,source_04,segment_03,page_078,region_10,217,4,0
81,city_004,cmp_023,device_18,source_11,segment_25,page_078,region_12,260,6,0
82,city_073,cmp_073,device_18,source_20,segment_22,page_021,region_10,398,9,0
83,city_029,cmp_114,device_07,source_14,segment_15,page_014,region_09,184,6,0
84,city_078,cmp_085,device_09,source_07,segment_29,page_102,region_02,198,6,0
85,city_036,cmp_120,device_10,source_28,segment_42,page_107,region_02,142,6,0
86,city_001,cmp_056,device_12,source_12,segment_69,page_068,region_05,194,8,0
87,city_042,cmp_178,device_18,source_15,segment_66,page_068,region_03,210,6,0
88,city_048,cmp_116,device_07,source_12,segment_40,page_016,region_03,185,3,0
89,city_035,cmp_010,device_02,source_02,segment_13,page_114,region_02,215,7,0
90,city_073,cmp_041,device_12,source_12,segment_56,page_042,region_04,217,6,0
91,city_054,cmp_066,device_18,source_05,segment_16,page_021,region_03,224,8,1
92,city_027,cmp_026,device_17,source_01,segment_09,page_049,region_11,184,6,0
93,city_060,cmp_046,device_01,source_02,segment_16,page_016,region_11,113,9,0
94,city_024,cmp_082,device_17,source_28,segment_03,page_025,region_11,250,5,0
95,city_073,cmp_065,device_03,source_20,segment_19,page_046,region_07,190,7,0
96,city_021,cmp_129,device_20,source_01,segment_50,page_021,region_06,255,9,0
97,city_056,cmp_032,device_13,source_14,segment_01,page_025,region_02,186,8,0
98,city_031,cmp_145,device_03,source_14,segment_01,page_058,region_02,125,5,0
99,city_008,cmp_038,device_03,source_12,segment_09,page_089,region_04,190,4,0
100,city_051,cmp_145,device_06,source_02,segment_10,page_055,region_03,96,10,1
101,city_029,cmp_031,device_04,source_28,segment_38,page_149,region_05,151,6,0
102,city_051,cmp_058,device_01,source_12,segment_08,page_014,region_02,191,7,0
103,city_043,cmp_151,device_17,source_17,segment_20,page_064,region_09,135,4,0
104,city_004,cmp_034,device_03,source_24,segment_37,page_045,region_11,195,2,1
105,city_014,cmp_126,device_20,source_28,segment_13,page_020,region_02,152,5,0
106,city_058,cmp_058,device_06,source_02,segment_08,page_006,region_07,243,7,0
107,city_036,cmp_049,device_08,source_08,segment_63,page_004,region_09,89,9,0
108,city_036,cmp_086,device_11,source_12,segment_11,page_089,region_05,225,6,0
109,city_001,cmp_024,device_06,source_13,segment_63,page_073,region_09,201,6,0
110,city_023,cmp_085,device_07,source_28,segment_66,page_078,region_03,166,3,0
111,city_056,cmp_023,device_14,source_12,segment_66,page_025,region_07,198,7,1
112,city_081,cmp_097,device_02,source_19,segment_27,page_073,region_09,231,7,0
113,city_046,cmp_079,device_07,source_11,segment_42,page_035,region_09,65,4,1
114,city_043,cmp_018,device_14,source_08,segment_13,page_139,region_04,245,3,0
115,city_036,cmp_013,device_07,source_04,segment_03,page_007,region_04,305,6,0
116,city_056,cmp_077,device_02,source_05,segment_29,page_145,region_02,127,7,0
117,city_069,cmp_014,device_03,source_15,segment_05,page_147,region_02,316,7,1
118,city_016,cmp_082,device_11,source_02,segment_48,page_143,region_09,264,4,1
119,city_060,cmp_180,device_19,source_06,segment_28,page_119,region_10,164,15,0
120,city_019,cmp_016,device_04,source_15,segment_03,page_039,region_11,216,9,1
121,city_003,cmp_054,device_08,source_02,segment_42,page_125,region_09,173,10,0
122,city_006,cmp_148,device_05,source_12,segment_28,page_024,region_11,218,8,0
123,city_004,cmp_152,device_18,source_11,segment_26,page_037,region_02,311,8,0
124,city_021,cmp_005,device_18,source_02,segment_31,page_149,region_02,242,4,0
125,city_010,cmp_120,device_07,source_02,segment_48,page_021,region_06,191,4,0
126,city_007,cmp_029,device_01,source_14,segment_07,page_032,region_11,233,5,0
127,city_010,cmp_104,device_09,source_12,segment_05,page_102,region_11,126,4,0
128,city_004,cmp_041,device_10,source_17,segment_08,page_111,region_01,305,7,0
129,city_025,cmp_026,device_10,source_15,segment_15,page_037,region_11,196,8,0
130,city_072,cmp_054,device_06,source_12,segment_44,page_113,region_02,195,9,0
131,city_044,cmp_023,device_01,source_11,segment_34,page_069,region_11,223,7,0
132,city_005,cmp_050,device_01,source_06,segment_03,page_080,region_07,180,10,0
133,city_028,cmp_045,device_14,source_01,segment_54,page_125,region_06,159,8,0
134,city_032,cmp_165,device_08,source_02,segment_03,page_047,region_03,230,7,0
135,city_012,cmp_065,device_06,source_13,segment_10,page_015,region_10,189,6,0
136,city_027,cmp_093,device_18,source_13,segment_63,page_121,region_03,141,2,0
137,city_025,cmp_023,device_17,source_02,segment_17,page_070,region_07,269,8,0
138,city_037,cmp_180,device_15,source_11,segment_16,page_141,region_07,62,7,0
139,city_058,cmp_058,device_10,source_28,segment_09,page_075,region_03,138,5,0
140,city_036,cmp_012,device_10,source_02,segment_09,page_014,region_07,258,7,0
141,city_006,cmp_078,device_08,source_20,segment_02,page_032,region_07,192,3,0
142,city_005,cmp_036,device_03,source_12,segment_57,page_109,region_04,283,10,0
143,city_081,cmp_035,device_12,source_20,segment_42,page_030,region_09,278,8,0
144,city_058,cmp_036,device_08,source_05,segment_19,page_113,region_07,267,5,0
145,city_055,cmp_052,device_08,source_29,segment_46,page_136,region_07,300,5,1
146,city_084,cmp_035,device_11,source_07,segment_15,page_051,region_04,195,8,0
147,city_043,cmp_113,device_07,source_15,segment_17,page_113,region_11,202,10,0
148,city_006,cmp_023,device_11,source_16,segment_63,page_022,region_02,212,9,1
149,city_060,cmp_018,device_05,source_15,segment_12,page_046,region_11,270,8,1
150,city_012,cmp_014,device_17,source_12,segment_58,page_098,region_10,176,9,1
151,city_056,cmp_048,device_20,source_15,segment_13,page_019,region_03,264,5,0
152,city_029,cmp_014,device_09,source_15,segment_64,page_036,region_01,215,4,1
153,city_002,cmp_004,device_07,source_17,segment_12,page_033,region_11,270,7,1
154,city_005,cmp_036,device_06,source_17,segment_15,page_142,region_03,264,5,0
155,city_029,cmp_174,device_17,source_15,segment_30,page_058,region_02,202,3,0
156,city_048,cmp_002,device_07,source_28,segment_10,page_033,region_09,309,8,1
157,city_012,cmp_010,device_15,source_26,segment_02,page_033,region_07,266,8,0
158,city_009,cmp_074,device_07,source_02,segment_15,page_042,region_07,102,7,0
159,city_028,cmp_058,device_17,source_29,segment_24,page_028,region_03,86,5,0
160,city_070,cmp_014,device_07,source_20,segment_01,page_031,region_11,149,5,0
161,city_066,cmp_137,device_08,source_14,segment_48,page_049,region_11,208,8,0
162,city_056,cmp_089,device_03,source_14,segment_14,page_088,region_02,278,6,0
163,city_032,cmp_057,device_20,source_08,segment_08,page_022,region_11,190,9,0
164,city_033,cmp_065,device_08,source_10,segment_35,page_070,region_04,190,4,0
165,city_016,cmp_118,device_10,source_08,segment_63,page_094,region_11,227,7,0
166,city_010,cmp_013,device_03,source_28,segment_25,page_020,region_04,299,11,1
167,city_001,cmp_151,device_11,source_14,segment_23,page_089,region_04,232,8,1
168,city_078,cmp_014,device_07,source_02,segment_28,page_078,region_03,195,1,0
169,city_039,cmp_052,device_07,source_20,segment_08,page_032,region_03,143,4,1
170,city_001,cmp_031,device_07,source_16,segment_15,page_073,region_03,134,3,0
171,city_042,cmp_087,device_08,source_15,segment_25,page_150,region_07,120,7,0
172,city_020,cmp_125,device_14,source_04,segment_69,page_065,region_07,240,9,0
173,city_032,cmp_079,device_07,source_15,segment_19,page_113,region_04,229,6,0
174,city_056,cmp_026,device_17,source_22,segment_03,page_088,region_04,246,8,1
175,city_070,cmp_113,device_03,source_02,segment_13,page_101,region_06,263,9,0
176,city_058,cmp_152,device_08,source_12,segment_66,page_014,region_04,220,8,0
177,city_082,cmp_021,device_11,source_03,segment_56,page_129,region_02,153,9,0
178,city_017,cmp_031,device_19,source_12,segment_34,page_018,region_12,170,6,0
179,city_055,cmp_063,device_07,source_15,segment_30,page_033,region_07,217,10,0
180,city_081,cmp_104,device_11,source_21,segment_38,page_086,region_03,187,6,0
181,city_024,cmp_016,device_14,source_12,segment_66,page_036,region_03,100,6,0
182,city_069,cmp_010,device_15,source_28,segment_24,page_052,region_11,167,2,0
183,city_091,cmp_069,device_18,source_28,segment_50,page_044,region_03,294,7,0
184,city_054,cmp_118,device_07,source_22,segment_63,page_128,region_07,223,8,0
185,city_012,cmp_036,device_15,source_12,segment_10,page_033,region_07,217,6,0
186,city_020,cmp_074,device_18,source_02,segment_19,page_019,region_05,161,7,0
187,city_056,cmp_120,device_07,source_15,segment_42,page_015,region_02,124,2,0
188,city_080,cmp_005,device_11,source_16,segment_12,page_014,region_11,214,5,0
189,city_002,cmp_039,device_07,source_12,segment_15,page_133,region_01,232,6,0
190,city_025,cmp_036,device_05,source_28,segment_17,page_093,region_09,124,7,0
191,city_016,cmp_101,device_06,source_02,segment_66,page_076,region_08,261,3,0
192,city_031,cmp_087,device_01,source_24,segment_40,page_103,region_04,181,5,0
193,city_064,cmp_122,device_08,source_26,segment_29,page_072,region_11,231,10,0
194,city_040,cmp_065,device_17,source_15,segment_24,page_125,region_03,213,8,0
195,city_041,cmp_027,device_06,source_25,segment_40,page_025,region_09,205,6,0
196,city_049,cmp_051,device_01,source_03,segment_63,page_078,region_11,369,7,0
197,city_041,cmp_045,device_06,source_07,segment_12,page_113,region_03,244,5,0
198,city_056,cmp_088,device_14,source_02,segment_43,page_009,region_09,212,5,0
199,city_009,cmp_160,device_07,source_06,segment_13,page_018,region_03,248,6,0
200,city_002,cmp_052,device_14,source_02,segment_48,page_112,region_03,186,6,0
201,city_072,cmp_083,device_04,source_02,segment_43,page_007,region_09,259,5,0
202,city_036,cmp_023,device_10,source_01,segment_40,page_113,region_04,226,5,1
203,city_022,cmp_072,device_12,source_18,segment_13,page_071,region_05,201,7,0
204,city_035,cmp_101,device_15,source_05,segment_69,page_071,region_05,193,9,0
205,city_055,cmp_109,device_11,source_14,segment_16,page_070,region_11,201,8,0
206,city_010,cmp_170,device_18,source_16,segment_63,page_106,region_10,211,13,0
207,city_041,cmp_178,device_03,source_15,segment_09,page_088,region_03,282,8,0
208,city_009,cmp_059,device_08,source_28,segment_19,page_022,region_02,236,5,0
209,city_078,cmp_129,device_07,source_17,segment_01,page_107,region_01,84,8,0
210,city_045,cmp_104,device_20,source_15,segment_05,page_088,region_04,309,7,0
211,city_070,cmp_061,device_08,source_02,segment_24,page_117,region_11,243,10,0
212,city_060,cmp_005,device_11,source_01,segment_56,page_114,region_06,361,8,0
213,city_072,cmp_172,device_18,source_17,segment_39,page_035,region_04,207,11,0
214,city_025,cmp_165,device_03,source_24,segment_33,page_070,region_07,279,6,0
215,city_010,cmp_059,device_07,source_14,segment_01,page_096,region_04,256,7,0
216,city_082,cmp_040,device_07,source_30,segment_56,page_039,region_05,221,8,0
217,city_081,cmp_014,device_03,source_25,segment_16,page_147,region_09,290,5,0
218,city_081,cmp_010,device_08,source_28,segment_30,page_077,region_11,199,6,0
219,city_098,cmp_120,device_06,source_17,segment_55,page_125,region_04,218,7,0
220,city_049,cmp_048,device_03,source_28,segment_03,page_080,region_04,145,8,1
221,city_041,cmp_068,device_01,source_14,segment_15,page_012,region_11,197,3,0
222,city_069,cmp_036,device_01,source_12,segment_66,page_097,region_11,157,7,1
223,city_009,cmp_079,device_07,source_02,segment_05,page_021,region_10,213,8,1
224,city_066,cmp_107,device_09,source_28,segment_18,page_108,region_03,247,10,0
225,city_071,cmp_136,device_04,source_08,segment_64,page_023,region_09,234,5,0
226,city_046,cmp_058,device_18,source_02,segment_06,page_014,region_05,223,5,0
227,city_029,cmp_036,device_04,source_16,segment_40,page_088,region_02,254,9,0
228,city_055,cmp_012,device_06,source_07,segment_40,page_045,region_11,357,6,1
229,city_085,cmp_128,device_06,source_12,segment_13,page_004,region_01,184,3,0
230,city_011,cmp_128,device_03,source_30,segment_07,page_129,region_04,356,9,0
231,city_024,cmp_041,device_20,source_15,segment_46,page_070,region_11,127,4,0
232,city_056,cmp_025,device_12,source_01,segment_12,page_073,region_11,70,9,1
233,city_073,cmp_089,device_06,source_02,segment_48,page_042,region_12,283,7,1
234,city_055,cmp_107,device_19,source_13,segment_64,page_039,region_04,215,6,0
235,city_048,cmp_101,device_10,source_02,segment_03,page_018,region_07,117,12,0
236,city_007,cmp_011,device_14,source_01,segment_14,page_014,region_03,213,14,0
237,city_032,cmp_177,device_07,source_06,segment_42,page_065,region_09,185,6,0
238,city_081,cmp_065,device_04,source_02,segment_32,page_080,region_07,234,7,0
239,city_027,cmp_078,device_07,source_24,segment_29,page_070,region_09,195,7,0
240,city_029,cmp_009,device_07,source_08,segment_26,page_147,region_07,288,14,0
241,city_026,cmp_002,device_20,source_12,segment_66,page_091,region_02,220,8,1
242,city_027,cmp_016,device_03,source_18,segment_48,page_119,region_02,227,6,1
243,city_029,cmp_045,device_03,source_06,segment_30,page_007,region_04,199,5,0
244,city_064,cmp_152,device_10,source_06,segment_16,page_012,region_09,252,6,0
245,city_035,cmp_101,device_08,source_05,segment_01,page_014,region_02,203,7,0
246,city_049,cmp_180,device_08,source_28,segment_40,page_080,region_07,271,4,1
247,city_034,cmp_091,device_07,source_03,segment_08,page_133,region_07,127,9,1
248,city_080,cmp_013,device_07,source_16,segment_08,page_020,region_03,217,6,1
249,city_012,cmp_093,device_03,source_15,segment_05,page_124,region_03,175,8,1
250,city_010,cmp_083,device_14,source_12,segment_63,page_021,region_09,151,8,0
251,city_029,cmp_135,device_07,source_19,segment_33,page_083,region_11,131,7,0
252,city_096,cmp_065,device_18,source_02,segment_50,page_010,region_10,158,11,0
253,city_058,cmp_031,device_07,source_02,segment_01,page_035,region_09,232,8,0
254,city_050,cmp_103,device_18,source_15,segment_26,page_065,region_06,237,4,0
255,city_029,cmp_106,device_18,source_04,segment_34,page_071,region_01,258,3,0
256,city_022,cmp_059,device_08,source_25,segment_64,page_033,region_06,183,5,1
257,city_094,cmp_013,device_14,source_13,segment_34,page_052,region_09,272,5,0
258,city_032,cmp_048,device_03,source_02,segment_06,page_014,region_03,206,9,0
259,city_060,cmp_125,device_03,source_05,segment_40,page_043,region_03,250,4,0
260,city_070,cmp_036,device_11,source_14,segment_17,page_040,region_06,217,6,0
261,city_055,cmp_102,device_01,source_28,segment_13,page_007,region_11,166,4,0
262,city_016,cmp_031,device_12,source_08,segment_57,page_069,region_11,126,8,0
263,city_022,cmp_038,device_04,source_02,segment_31,page_143,region_03,138,7,0
264,city_002,cmp_039,device_05,source_16,segment_28,page_067,region_01,152,8,0
265,city_095,cmp_017,device_07,source_12,segment_56,page_009,region_04,181,11,0
266,city_073,cmp_040,device_18,source_18,segment_66,page_013,region_09,249,10,1
267,city_029,cmp_101,device_12,source_12,segment_37,page_107,region_07,270,5,0
268,city_082,cmp_046,device_14,source_08,segment_57,page_077,region_02,274,6,1
269,city_010,cmp_036,device_14,source_10,segment_22,page_078,region_01,22,4,0
270,city_004,cmp_095,device_15,source_21,segment_64,page_114,region_07,182,9,0
271,city_010,cmp_059,device_03,source_08,segment_42,page_016,region_04,194,5,0
272,city_081,cmp_051,device_18,source_12,segment_64,page_149,region_02,185,6,0
273,city_012,cmp_118,device_07,source_04,segment_59,page_078,region_04,107,8,0
274,city_005,cmp_044,device_08,source_01,segment_17,page_147,region_03,272,7,0
275,city_013,cmp_065,device_15,source_03,segment_63,page_070,region_09,319,11,0
276,city_031,cmp_005,device_16,source_21,segment_30,page_113,region_01,189,8,0
277,city_039,cmp_039,device_07,source_28,segment_49,page_069,region_02,343,7,0
278,city_017,cmp_028,device_08,source_18,segment_40,page_021,region_02,71,6,0
279,city_070,cmp_135,device_07,source_11,segment_66,page_133,region_03,144,3,0
280,city_094,cmp_004,device_01,source_15,segment_40,page_058,region_09,194,11,0
281,city_022,cmp_095,device_10,source_02,segment_42,page_032,region_11,249,6,0
282,city_090,cmp_106,device_11,source_02,segment_69,page_124,region_05,215,8,0
283,city_072,cmp_039,device_07,source_02,segment_59,page_051,region_11,144,12,0
284,city_081,cmp_032,device_01,source_14,segment_34,page_033,region_03,254,2,1
285,city_005,cmp_021,device_08,source_09,segment_45,page_101,region_11,245,3,1
286,city_073,cmp_034,device_03,source_02,segment_13,page_039,region_07,178,7,0
287,city_047,cmp_141,device_07,source_12,segment_30,page_041,region_01,187,8,1
288,city_004,cmp_009,device_14,source_28,segment_67,page_124,region_11,142,9,0
289,city_063,cmp_052,device_04,source_12,segment_08,page_092,region_01,242,7,0
290,city_019,cmp_032,device_18,source_12,segment_64,page_021,region_04,139,6,0
291,city_069,cmp_093,device_12,source_07,segment_43,page_014,region_07,132,4,0
292,city_051,cmp_039,device_05,source_01,segment_15,page_049,region_09,307,6,0
293,city_037,cmp_040,device_04,source_04,segment_66,page_058,region_01,216,8,1
294,city_002,cmp_010,device_03,source_06,segment_23,page_021,region_03,167,10,0
295,city_081,cmp_139,device_17,source_11,segment_26,page_150,region_09,94,7,0
296,city_010,cmp_059,device_02,source_28,segment_27,page_030,region_06,217,7,0
297,city_073,cmp_011,device_10,source_05,segment_10,page_016,region_06,211,6,0
298,city_056,cmp_106,device_14,source_06,segment_37,page_014,region_07,277,4,0
299,city_005,cmp_113,device_05,source_06,segment_29,page_014,region_02,69,7,0
300,city_043,cmp_052,device_07,source_03,segment_67,page_032,region_05,165,4,0
301,city_094,cmp_172,device_06,source_11,segment_47,page_018,region_02,243,7,0
302,city_088,cmp_026,device_14,source_18,segment_24,page_080,region_11,200,8,0
303,city_010,cmp_126,device_20,source_17,segment_63,page_080,region_10,253,6,0
304,city_012,cmp_126,device_19,source_01,segment_66,page_014,region_01,226,9,0
305,city_010,cmp_059,device_02,source_20,segment_32,page_113,region_07,223,6,0
306,city_063,cmp_065,device_11,source_08,segment_66,page_099,region_02,247,5,0
307,city_012,cmp_014,device_09,source_01,segment_29,page_046,region_11,137,6,0
308,city_005,cmp_017,device_18,source_30,segment_11,page_039,region_06,230,7,0
309,city_029,cmp_050,device_08,source_25,segment_30,page_020,region_04,233,7,0
310,city_095,cmp_145,device_07,source_07,segment_28,page_052,region_04,336,7,0
311,city_024,cmp_025,device_07,source_16,segment_29,page_052,region_02,85,7,1
312,city_060,cmp_055,device_16,source_15,segment_08,page_044,region_05,186,4,0
313,city_010,cmp_010,device_11,source_29,segment_10,page_018,region_12,243,7,1
314,city_050,cmp_036,device_03,source_02,segment_19,page_015,region_11,263,8,1
315,city_046,cmp_043,device_18,source_03,segment_46,page_116,region_08,197,3,0
316,city_082,cmp_165,device_11,source_15,segment_12,page_017,region_09,190,5,0
317,city_060,cmp_024,device_03,source_02,segment_04,page_121,region_05,196,4,1
318,city_010,cmp_013,device_07,source_22,segment_13,page_078,region_01,295,8,0
319,city_029,cmp_010,device_05,source_03,segment_20,page_083,region_02,207,8,0
320,city_001,cmp_061,device_09,source_19,segment_03,page_042,region_09,167,6,0
321,city_019,cmp_059,device_08,source_02,segment_21,page_017,region_09,173,9,0
322,city_095,cmp_024,device_19,source_17,segment_33,page_049,region_04,165,6,0
323,city_035,cmp_031,device_01,source_02,segment_56,page_077,region_07,260,9,0
324,city_080,cmp_036,device_07,source_02,segment_27,page_059,region_03,276,6,0
325,city_002,cmp_002,device_03,source_02,segment_42,page_125,region_01,108,5,0
326,city_080,cmp_122,device_01,source_15,segment_40,page_015,region_08,180,8,0
327,city_081,cmp_112,device_14,source_02,segment_30,page_091,region_06,244,10,0
328,city_055,cmp_037,device_14,source_07,segment_31,page_067,region_09,225,12,0
329,city_009,cmp_072,device_18,source_25,segment_15,page_074,region_01,192,5,1
330,city_080,cmp_038,device_09,source_06,segment_07,page_019,region_09,260,7,0
331,city_082,cmp_004,device_05,source_02,segment_30,page_080,region_11,294,9,1
332,city_014,cmp_075,device_07,source_15,segment_14,page_067,region_03,167,13,0
333,city_091,cmp_101,device_09,source_02,segment_18,page_146,region_03,115,9,0
334,city_080,cmp_039,device_10,source_17,segment_44,page_077,region_04,204,10,0
335,city_014,cmp_030,device_01,source_11,segment_39,page_067,region_04,145,6,1
336,city_029,cmp_032,device_18,source_28,segment_07,page_020,region_06,253,4,0
337,city_025,cmp_040,device_18,source_04,segment_06,page_018,region_01,148,9,1
338,city_040,cmp_054,device_14,source_12,segment_59,page_053,region_09,328,3,0
339,city_081,cmp_106,device_05,source_24,segment_19,page_088,region_05,141,5,0
340,city_080,cmp_025,device_07,source_15,segment_09,page_015,region_11,203,10,0
341,city_012,cmp_096,device_11,source_03,segment_34,page_126,region_04,222,7,0
342,city_044,cmp_165,device_06,source_02,segment_66,page_117,region_11,171,7,0
343,city_043,cmp_023,device_07,source_13,segment_34,page_004,region_05,199,8,0
344,city_035,cmp_058,device_11,source_13,segment_34,page_109,region_04,222,13,0
345,city_060,cmp_041,device_01,source_03,segment_63,page_138,region_07,326,6,1
346,city_054,cmp_077,device_03,source_20,segment_10,page_077,region_03,231,9,0
347,city_021,cmp_133,device_01,source_04,segment_31,page_085,region_05,214,7,1
348,city_025,cmp_135,device_06,source_28,segment_13,page_019,region_05,285,8,0
349,city_081,cmp_052,device_07,source_16,segment_40,page_067,region_11,251,5,0
350,city_025,cmp_107,device_15,source_14,segment_32,page_052,region_10,285,7,0
351,city_034,cmp_058,device_03,source_15,segment_59,page_032,region_04,160,7,0
352,city_095,cmp_112,device_07,source_01,segment_33,page_058,region_03,124,11,0
353,city_078,cmp_135,device_01,source_07,segment_34,page_005,region_07,313,9,0
354,city_058,cmp_098,device_07,source_24,segment_28,page_022,region_07,240,7,0
355,city_023,cmp_010,device_01,source_28,segment_03,page_037,region_11,178,9,0
356,city_051,cmp_030,device_07,source_02,segment_26,page_019,region_04,145,9,1
357,city_052,cmp_114,device_15,source_26,segment_03,page_018,region_11,185,11,0
