event_date,ticket_category,event_count,value_sum,value_mean
2025-11-01,оборудование,1,23.6,23.6
2025-11-02,интеграция,2,93.6,46.8
2025-11-02,оборудование,1,5.2,5.2
2025-11-03,другое,1,38.9,38.9
2025-11-03,интеграция,2,82.5,41.25
2025-11-04,интеграция,1,13.8,13.8
2025-11-06,ошибка системы,1,39.0,39.0
2025-11-07,интеграция,1,23.7,23.7
2025-11-08,другое,4,125.3,31.325
2025-11-10,ошибка системы,2,66.4,33.2
2025-11-11,другое,2,109.3,54.65
2025-11-12,оборудование,2,43.300000000000004,21.650000000000002
2025-11-13,оборудование,1,2.6,2.6
2025-11-14,ошибка системы,1,28.6,28.6
2025-11-16,ошибка системы,1,32.1,32.1
2025-11-17,доступ,1,46.6,46.6
2025-11-17,интеграция,1,57.5,57.5
2025-11-18,доступ,1,12.2,12.2
2025-11-19,ошибка системы,1,65.7,65.7
2025-11-20,оборудование,1,12.6,12.6
2025-11-21,доступ,1,49.4,49.4
2025-11-21,интеграция,1,51.1,51.1
2025-11-22,интеграция,2,120.7,60.35
2025-11-22,оборудование,1,1.1,1.1
2025-11-23,доступ,2,129.3,64.65
2025-11-23,другое,1,69.0,69.0
2025-11-23,оборудование,1,32.6,32.6
2025-11-24,ошибка системы,1,7.2,7.2
2025-11-25,доступ,1,7.3,7.3
2025-11-26,доступ,1,57.6,57.6
2025-11-26,оборудование,1,32.6,32.6
2025-11-27,оборудование,1,53.2,53.2
2025-11-29,оборудование,1,29.6,29.6
2025-11-30,доступ,2,90.0,45.0
2025-11-30,другое,2,116.60000000000001,58.300000000000004
2025-12-01,доступ,1,36.1,36.1
2025-12-03,оборудование,1,11.3,11.3
2025-12-04,оборудование,1,72.0,72.0
2025-12-05,доступ,1,20.8,20.8
2025-12-05,интеграция,1,25.6,25.6
2025-12-05,оборудование,1,17.2,17.2
2025-12-05,ошибка системы,1,17.9,17.9
2025-12-06,оборудование,1,25.1,25.1
2025-12-09,другое,1,61.4,61.4
2025-12-09,оборудование,1,52.1,52.1
2025-12-11,оборудование,1,7.3,7.3
2025-12-11,ошибка системы,1,10.8,10.8
2025-12-12,ошибка системы,1,5.3,5.3
2025-12-14,ошибка системы,3,63.7,21.233333333333334
2025-12-15,доступ,1,8.6,8.6
2025-12-15,интеграция,1,15.9,15.9
2025-12-16,оборудование,1,43.8,43.8
2025-12-16,ошибка системы,2,89.7,44.85
2025-12-18,доступ,1,1.6,1.6
2025-12-18,интеграция,1,28.0,28.0
2025-12-19,доступ,1,47.0,47.0
2025-12-19,интеграция,1,65.4,65.4
2025-12-20,доступ,1,50.9,50.9
2025-12-20,интеграция,2,7.7,3.85
2025-12-20,оборудование,1,25.3,25.3
2025-12-22,интеграция,1,55.1,55.1
2025-12-22,ошибка системы,1,9.5,9.5
2025-12-24,доступ,1,50.1,50.1
2025-12-25,доступ,2,56.6,28.3
2025-12-26,доступ,1,53.4,53.4
2025-12-26,другое,1,44.2,44.2
2025-12-28,доступ,1,53.5,53.5
2025-12-29,доступ,1,39.8,39.8
2025-12-29,другое,1,68.4,68.4
2025-12-30,оборудование,1,53.6,53.6
