ticket_id,agent_id,created_at,ticket_category,resolution_hours,priority,status
SUP1200023,A022,2025-02-23 11:23:54,ошибка системы,7.9,low,resolved
SUP1200150,A013,2025-02-26 22:25:45,другое,64.4,high,resolved
SUP1200228,A015,2025-02-26 23:55:36,другое,39.2,medium,resolved
SUP1200103,A004,2025-02-27 00:35:17,интеграция,25.9,low,in_progress
SUP1200347,A009,2025-02-28 08:22:56,ошибка системы,25.5,low,resolved
SUP1200061,A030,2025-03-01 01:08:56,доступ,11.4,medium,escalated
SUP1200456,A024,2025-03-01 05:46:29,другое,29.1,medium,resolved
SUP1200464,A002,2025-03-04 06:09:44,интеграция,38.7,low,in_progress
SUP1200273,A001,2025-03-04 10:44:00,интеграция,2.9,high,in_progress
SUP1200124,A002,2025-03-04 16:23:49,интеграция,60.0,critical,in_progress
SUP1200458,A026,2025-03-04 19:40:47,ошибка системы,40.0,medium,resolved
SUP1200394,A016,2025-03-05 01:33:11,интеграция,33.9,low,resolved
SUP1200274,A006,2025-03-06 17:04:47,другое,46.2,medium,resolved
SUP1200279,A004,2025-03-07 03:20:17,ошибка системы,21.9,low,resolved
SUP1200046,A030,2025-03-07 10:00:25,оборудование,45.4,low,in_progress
SUP1200013,A013,2025-03-08 00:57:52,ошибка системы,59.5,medium,resolved
SUP1200100,A024,2025-03-08 00:58:22,оборудование,3.5,low,in_progress
SUP1200370,A019,2025-03-08 16:10:17,оборудование,62.3,medium,resolved
SUP1200246,A024,2025-03-09 02:17:00,интеграция,19.6,low,in_progress
SUP1200016,A030,2025-03-10 04:47:51,доступ,0.8,critical,resolved
SUP1200160,A001,2025-03-11 06:30:17,интеграция,13.1,critical,in_progress
SUP1200428,A028,2025-03-11 16:27:31,ошибка системы,60.0,high,resolved
SUP1200252,A001,2025-03-13 10:02:52,ошибка системы,24.2,high,escalated
SUP1200168,A015,2025-03-14 04:25:18,оборудование,60.2,medium,in_progress
SUP1200122,A008,2025-03-15 14:49:54,ошибка системы,43.0,high,new
SUP1200146,A022,2025-03-15 16:12:17,доступ,7.9,high,in_progress
SUP1200107,A015,2025-03-18 10:13:24,ошибка системы,4.0,medium,new
SUP1200017,A004,2025-03-18 18:03:48,интеграция,59.0,low,new
SUP1200298,A007,2025-03-19 03:12:30,оборудование,18.7,high,in_progress
SUP1200353,A005,2025-03-19 14:16:24,другое,55.6,low,in_progress
SUP1200142,A029,2025-03-20 01:59:34,оборудование,38.7,high,new
SUP1200415,A006,2025-03-20 06:57:19,доступ,51.7,low,resolved
SUP1200327,A007,2025-03-20 20:23:53,интеграция,49.5,critical,resolved
SUP1200177,A019,2025-03-21 15:43:12,доступ,9.7,low,resolved
SUP1200312,A003,2025-03-23 16:12:06,ошибка системы,3.9,low,resolved
SUP1200020,A006,2025-03-23 17:07:03,оборудование,50.1,medium,escalated
SUP1200127,A005,2025-03-23 21:38:05,ошибка системы,4.6,low,in_progress
SUP1200446,A008,2025-03-24 11:54:38,ошибка системы,46.0,low,resolved
SUP1200411,A005,2025-03-25 04:06:47,ошибка системы,61.6,critical,in_progress
SUP1200444,A025,2025-03-25 07:26:56,ошибка системы,37.2,low,new
SUP1200375,A026,2025-03-26 17:49:20,ошибка системы,41.5,medium,in_progress
SUP1200197,A023,2025-03-26 17:57:53,ошибка системы,67.2,high,new
SUP1200295,A018,2025-03-27 05:08:41,интеграция,20.8,medium,escalated
SUP1200316,A011,2025-03-30 17:36:33,интеграция,9.5,low,resolved
SUP1200421,A002,2025-03-31 05:17:06,доступ,58.5,low,in_progress
SUP1200050,A021,2025-03-31 12:44:07,ошибка системы,52.7,medium,resolved
SUP1200006,A021,2025-03-31 23:33:15,доступ,14.1,low,resolved
SUP1200038,A027,2025-03-31 23:50:28,оборудование,5.4,medium,resolved
SUP1200111,A027,2025-04-01 06:28:02,оборудование,14.3,critical,in_progress
SUP1200271,A027,2025-04-02 22:37:25,интеграция,46.3,medium,in_progress
SUP1200349,A013,2025-04-04 04:14:13,ошибка системы,38.4,high,resolved
SUP1200004,A004,2025-04-06 03:14:26,доступ,49.6,low,resolved
SUP1200301,A007,2025-04-07 19:51:08,оборудование,13.7,low,resolved
SUP1200047,A017,2025-04-08 01:41:53,оборудование,13.0,medium,in_progress
SUP1200382,A007,2025-04-08 03:26:37,доступ,55.9,critical,new
SUP1200123,A019,2025-04-08 08:34:27,оборудование,17.6,low,escalated
SUP1200282,A009,2025-04-08 17:04:53,другое,14.0,medium,in_progress
SUP1200342,A026,2025-04-08 23:12:47,ошибка системы,47.2,medium,resolved
SUP1200377,A023,2025-04-09 04:53:18,другое,30.0,medium,in_progress
SUP1200468,A022,2025-04-09 20:36:27,другое,71.9,low,in_progress
SUP1200407,A026,2025-04-09 23:59:25,ошибка системы,1.5,low,resolved
SUP1200398,A015,2025-04-10 15:32:49,другое,68.3,high,resolved
SUP1200029,A016,2025-04-12 14:45:11,ошибка системы,57.1,medium,new
SUP1200098,A022,2025-04-13 12:12:35,интеграция,49.6,critical,resolved
SUP1200217,A020,2025-04-13 22:45:36,интеграция,6.7,low,resolved
SUP1200220,A022,2025-04-14 01:46:24,интеграция,54.3,medium,escalated
SUP1200475,A003,2025-04-14 14:06:05,другое,50.7,high,resolved
SUP1200129,A001,2025-04-15 03:53:39,интеграция,36.8,medium,resolved
SUP1200296,A001,2025-04-15 09:31:11,ошибка системы,48.1,critical,resolved
SUP1200429,A001,2025-04-15 20:23:17,ошибка системы,15.9,low,new
SUP1200268,A012,2025-04-18 07:07:54,интеграция,20.2,critical,resolved
SUP1200225,A007,2025-04-21 03:34:46,интеграция,52.1,low,in_progress
SUP1200355,A004,2025-04-21 18:23:55,интеграция,60.2,medium,resolved
SUP1200258,A005,2025-04-21 19:05:18,интеграция,13.3,low,resolved
SUP1200410,A004,2025-04-23 18:27:59,интеграция,64.0,medium,in_progress
SUP1200423,A005,2025-04-24 02:58:02,другое,62.7,low,resolved
SUP1200336,A016,2025-04-24 12:08:42,другое,37.6,low,resolved
SUP1200181,A011,2025-04-26 16:15:31,доступ,4.8,low,in_progress
SUP1200241,A006,2025-04-26 16:33:47,ошибка системы,27.2,low,resolved
SUP1200461,A005,2025-04-26 21:46:12,интеграция,23.9,medium,resolved
SUP1200132,A022,2025-04-27 02:56:24,доступ,71.9,medium,new
SUP1200460,A003,2025-04-27 17:21:50,интеграция,46.3,medium,in_progress
SUP1200165,A004,2025-04-28 11:17:11,другое,12.1,high,new
SUP1200472,A030,2025-04-28 15:26:27,интеграция,17.4,high,resolved
SUP1200063,A029,2025-04-28 23:01:53,интеграция,16.6,medium,resolved
SUP1200294,A006,2025-04-30 09:49:38,оборудование,6.1,medium,new
SUP1200205,A013,2025-05-01 21:21:26,оборудование,3.0,medium,resolved
SUP1200009,A029,2025-05-02 22:24:14,другое,61.9,high,escalated
SUP1200471,A027,2025-05-04 05:37:32,оборудование,11.5,low,resolved
SUP1200480,A017,2025-05-06 21:55:09,ошибка системы,9.3,high,in_progress
SUP1200314,A016,2025-05-07 00:08:47,доступ,40.2,medium,in_progress
SUP1200119,A014,2025-05-07 11:46:43,ошибка системы,16.1,low,new
SUP1200364,A001,2025-05-07 14:51:05,ошибка системы,26.0,low,resolved
SUP1200030,A007,2025-05-08 17:16:28,оборудование,68.8,medium,in_progress
SUP1200443,A020,2025-05-09 21:27:11,интеграция,68.4,medium,in_progress
SUP1200065,A024,2025-05-11 10:32:57,другое,23.0,high,resolved
SUP1200037,A001,2025-05-13 16:37:19,доступ,12.2,low,resolved
SUP1200425,A023,2025-05-16 05:20:20,ошибка системы,32.4,high,resolved
SUP1200022,A001,2025-05-16 21:42:47,интеграция,71.7,medium,in_progress
SUP1200117,A016,2025-05-17 11:08:30,доступ,0.6,high,new
SUP1200430,A008,2025-05-18 08:12:02,оборудование,68.2,low,resolved
SUP1200043,A023,2025-05-19 04:23:46,ошибка системы,36.0,low,resolved
SUP1200360,A005,2025-05-20 06:12:17,оборудование,64.6,medium,in_progress
SUP1200397,A019,2025-05-21 05:00:26,оборудование,5.2,medium,new
SUP1200229,A009,2025-05-22 09:18:30,ошибка системы,48.6,low,resolved
SUP1200174,A007,2025-05-23 05:37:32,интеграция,39.6,medium,in_progress
SUP1200223,A018,2025-05-24 06:54:47,ошибка системы,33.2,medium,new
SUP1200378,A019,2025-05-24 21:41:41,интеграция,62.3,low,resolved
SUP1200300,A006,2025-05-25 13:03:27,оборудование,32.5,low,resolved
SUP1200403,A014,2025-05-29 18:22:48,оборудование,42.6,low,new
SUP1200077,A006,2025-05-29 20:39:31,другое,22.8,medium,escalated
SUP1200424,A030,2025-05-30 00:17:52,ошибка системы,17.9,low,resolved
SUP1200383,A015,2025-05-30 12:32:05,оборудование,35.9,medium,resolved
SUP1200116,A030,2025-05-30 13:20:04,оборудование,21.5,high,resolved
SUP1200227,A025,2025-05-30 19:22:41,доступ,63.6,low,resolved
SUP1200002,A025,2025-05-31 05:38:18,другое,67.0,high,in_progress
SUP1200254,A005,2025-05-31 17:47:06,доступ,2.9,high,resolved
SUP1200099,A007,2025-05-31 18:39:27,интеграция,33.2,low,resolved
SUP1200133,A030,2025-06-02 01:00:32,оборудование,58.1,low,new
SUP1200439,A012,2025-06-02 03:24:39,другое,34.8,critical,resolved
SUP1200335,A014,2025-06-02 21:38:43,доступ,31.7,low,new
SUP1200169,A010,2025-06-03 16:22:07,ошибка системы,35.8,medium,in_progress
SUP1200032,A027,2025-06-04 19:50:20,интеграция,60.9,low,resolved
SUP1200104,A009,2025-06-05 22:10:42,интеграция,6.3,high,resolved
SUP1200402,A006,2025-06-07 11:14:32,ошибка системы,59.7,high,resolved
SUP1200082,A010,2025-06-09 10:31:27,другое,9.9,low,in_progress
SUP1200180,A030,2025-06-10 22:19:07,оборудование,4.0,medium,resolved
SUP1200269,A019,2025-06-11 15:27:11,интеграция,41.7,low,resolved
SUP1200352,A024,2025-06-11 21:18:28,интеграция,49.1,high,new
SUP1200283,A017,2025-06-14 22:58:17,оборудование,70.2,medium,in_progress
SUP1200280,A005,2025-06-15 04:40:07,интеграция,20.0,low,in_progress
SUP1200040,A026,2025-06-15 04:58:00,интеграция,68.5,high,new
SUP1200147,A023,2025-06-19 13:30:29,интеграция,41.3,low,resolved
