temp_c,vibration,pressure_kpa,power_kw,flow_lpm
48.4,1.663,201.6,42.9,217.7
42.8,1.18,260.8,54.41,195.9
56.4,1.836,249.5,51.28,221.8
50.8,2.318,222.4,52.48,197.3
53.6,2.208,185.8,50.49,212.0
51.5,1.124,232.0,51.96,217.2
51.5,2.358,235.9,48.63,217.6
54.6,1.872,254.0,44.28,225.5
54.9,2.23,204.1,48.18,184.2
65.8,4.095,171.1,34.57,207.7
51.4,1.093,252.1,47.43,192.8
54.3,2.614,229.6,40.45,215.8
59.6,3.252,199.8,53.44,224.1
56.3,2.902,219.2,46.59,202.2
52.2,3.224,236.9,40.37,225.0
55.3,2.292,188.5,57.49,200.9
48.2,1.837,236.9,43.24,205.0
51.3,2.312,193.4,43.61,219.4
54.3,2.16,226.8,49.65,205.9
63.7,3.209,179.3,45.77,214.8
55.3,2.861,243.3,50.71,196.6
55.7,2.259,211.8,59.98,218.8
59.9,2.218,197.3,49.21,204.5
50.1,1.567,194.2,39.49,224.3
50.4,2.424,216.5,45.72,232.3
48.7,1.598,204.1,40.21,211.5
54.5,1.872,232.2,54.73,188.0
58.7,2.389,234.9,43.83,210.6
52.2,1.939,238.4,62.2,217.1
54.3,2.219,217.4,54.5,215.2
54.2,2.811,214.9,48.08,195.1
61.1,2.576,189.9,48.95,214.3
53.1,3.009,214.4,51.19,223.0
62.4,2.625,233.0,46.29,197.8
53.7,2.78,207.4,54.47,227.3
62.3,3.553,181.0,53.03,224.8
51.2,2.528,223.9,50.44,199.2
63.6,3.986,192.0,52.22,204.3
52.6,3.063,214.0,46.5,171.9
59.6,2.941,225.3,43.99,226.1
46.8,1.571,253.9,54.28,194.8
49.9,3.121,217.7,40.48,211.7
51.3,1.987,247.4,41.46,206.3
55.0,2.88,207.1,39.59,221.7
52.3,2.269,230.8,59.32,204.9
54.1,2.731,221.9,45.63,210.3
59.5,3.794,210.5,41.5,211.4
52.6,1.69,250.3,50.4,184.0
58.9,2.665,205.8,49.8,232.8
55.1,1.91,193.4,54.94,202.5
57.9,3.626,200.3,43.65,218.0
53.0,2.337,183.0,47.55,192.9
50.1,2.73,247.7,46.19,207.6
49.3,1.498,239.6,45.49,205.3
61.9,4.027,215.3,48.0,198.1
52.8,2.163,237.9,39.5,241.8
54.2,1.917,235.3,26.78,210.2
50.1,2.02,195.6,37.1,211.3
54.3,1.925,213.6,56.48,229.0
63.0,3.921,198.6,41.02,202.6
48.9,1.054,258.2,49.28,203.5
60.1,2.575,216.8,49.55,205.1
51.1,1.688,215.6,46.97,215.4
55.8,2.411,237.7,42.39,217.4
56.9,3.719,206.2,49.67,204.6
44.8,1.0,269.0,46.28,201.9
44.4,1.203,227.9,50.06,211.2
58.4,2.573,201.2,53.13,230.3
62.2,2.364,199.7,40.16,216.9
56.4,1.459,184.5,46.22,225.2
54.8,2.599,247.5,49.86,207.3
54.4,2.388,188.9,48.24,223.2
62.6,3.804,181.8,54.69,202.3
51.5,1.627,199.1,56.91,214.2
60.1,2.532,217.8,42.28,200.7
54.6,2.481,241.9,36.11,214.8
58.0,3.123,217.0,57.19,201.4
47.7,1.26,240.5,42.63,193.5
62.9,3.012,208.9,43.81,226.6
51.6,2.117,239.0,42.72,236.5
65.3,3.303,184.1,40.4,218.5
59.5,3.569,240.3,46.88,212.1
48.7,1.529,223.1,47.85,212.1
54.1,1.848,229.5,55.54,225.2
49.0,0.763,223.4,46.13,216.7
53.0,2.181,232.1,41.25,208.0
54.7,2.98,215.2,51.73,229.4
56.4,2.536,204.1,56.58,193.5
57.9,2.321,239.4,36.05,233.6
56.4,2.458,241.5,44.81,216.6
58.3,2.355,261.0,49.99,224.9
49.1,1.762,258.2,39.72,217.8
52.8,2.078,246.1,54.46,186.8
49.1,2.686,256.6,37.13,203.3
58.8,3.297,191.6,53.97,193.7
53.5,2.669,194.4,56.09,204.9
59.0,3.017,201.6,39.86,216.7
55.5,2.432,227.8,52.61,195.1
57.2,2.857,195.3,46.13,217.3
56.9,1.905,194.5,48.78,226.0
57.9,2.45,200.1,51.45,215.2
51.3,2.606,257.7,50.63,234.7
52.5,1.955,243.8,49.68,220.5
62.7,2.812,189.2,43.94,210.8
50.4,1.054,259.8,38.15,220.6
62.6,3.492,221.6,48.95,216.0
56.1,1.866,216.4,60.76,231.9
52.9,2.521,225.8,48.31,207.9
48.5,2.439,276.3,58.43,197.0
49.9,1.872,227.6,53.63,223.7
58.6,2.586,247.3,41.4,208.5
41.4,0.502,265.3,47.73,210.5
57.9,2.55,203.2,54.56,225.4
58.2,2.571,227.6,50.85,214.3
59.4,3.493,193.9,45.92,199.5
58.0,2.564,201.0,41.86,209.7
57.2,2.883,216.2,52.84,203.6
64.9,4.281,197.3,43.97,216.2
58.3,2.857,176.2,49.35,223.6
64.4,3.128,198.5,54.46,203.1
54.2,2.687,250.3,49.26,211.1
52.4,1.94,215.0,52.3,208.1
56.0,3.054,229.5,41.24,212.7
56.1,2.695,217.6,53.45,190.4
58.0,2.817,216.7,53.62,197.0
48.1,1.313,248.0,37.93,195.7
49.0,1.274,196.2,50.86,198.7
49.8,2.133,241.2,47.63,217.1
50.4,2.256,223.1,42.25,211.4
51.4,2.43,234.9,44.12,187.8
60.5,3.487,201.1,45.44,212.9
56.1,3.062,214.7,57.22,210.1
54.4,1.684,239.3,50.71,226.9
56.6,1.949,209.7,50.98,208.5
61.9,3.385,215.1,60.3,211.1
42.7,1.119,248.8,46.7,214.6
48.5,2.173,175.7,42.76,214.7
55.9,2.785,213.8,51.67,200.5
49.7,2.342,235.6,48.0,223.5
47.0,1.266,241.4,58.29,220.1
57.2,2.852,188.5,47.8,198.9
56.9,2.842,227.0,51.52,205.7
61.2,4.857,228.8,40.33,216.0
44.4,1.92,225.1,45.19,215.5
43.7,1.227,242.9,56.75,208.0
56.5,2.318,224.1,46.0,203.2
53.9,2.318,211.1,50.02,212.5
53.1,1.725,221.5,47.15,213.9
59.5,2.613,197.2,47.84,195.2
47.6,2.028,223.6,54.77,197.5
65.3,3.547,185.1,43.02,198.4
56.6,2.204,229.6,47.45,208.7
45.6,2.615,220.3,44.16,195.5
61.0,3.101,206.1,48.55,215.5
49.6,1.85,258.1,54.79,220.1
50.9,1.936,230.0,51.0,208.9
55.5,1.822,207.2,44.84,219.6
44.6,1.373,255.1,54.39,178.0
52.1,2.597,218.7,51.23,219.9
59.3,2.779,220.3,58.29,225.2
52.7,3.089,250.1,53.63,220.3
55.7,2.253,200.4,42.95,219.4
54.2,1.274,234.6,47.56,235.3
58.6,2.894,231.2,43.78,206.1
48.1,1.315,253.6,43.76,210.8
54.5,2.571,253.8,43.89,201.2
56.8,2.748,218.0,50.34,191.9
53.2,2.588,215.3,50.46,214.8
58.8,3.346,224.6,50.94,213.4
59.3,2.325,184.2,51.4,206.3
57.0,2.866,216.4,42.65,212.6
57.4,2.966,202.6,47.46,211.3
61.7,3.017,201.1,53.11,201.3
56.9,2.741,197.3,45.74,219.8
57.2,3.082,197.9,42.34,210.2
55.3,2.866,231.4,46.3,200.1
58.1,2.778,199.4,41.23,203.2
59.5,2.945,191.6,42.82,195.9
55.9,2.315,218.4,51.28,200.6
58.7,3.148,194.1,48.01,211.1
58.1,2.048,179.8,49.69,207.0
59.0,1.909,216.3,42.94,209.2
57.5,1.622,217.8,53.44,212.0
59.2,3.174,216.7,50.92,196.2
61.8,3.585,213.2,47.57,226.1
56.9,2.776,232.7,43.03,200.0
55.5,2.145,196.5,47.21,219.5
57.3,2.636,218.2,38.52,218.7
59.4,4.249,202.8,40.83,208.3
56.3,3.852,202.1,48.52,197.9
55.4,2.884,185.1,45.38,212.3
65.0,3.157,225.1,46.99,213.7
52.5,2.54,209.8,50.97,216.3
55.4,2.056,232.4,36.48,207.6
50.9,1.671,240.5,34.32,205.6
41.9,1.909,269.0,46.3,194.3
54.7,2.619,237.9,54.65,205.4
53.0,2.22,222.0,39.83,217.1
60.6,3.867,246.1,49.89,196.5
45.4,1.191,258.1,49.92,232.6
64.8,3.551,189.6,36.22,237.1
57.2,2.537,201.8,49.98,196.0
57.2,2.101,238.6,43.12,219.4
57.2,2.961,183.7,44.93,217.5
56.0,1.984,236.8,50.73,188.1
57.6,2.959,199.5,42.41,203.1
56.9,3.497,191.1,45.33,226.9
55.5,2.749,196.2,40.8,228.4
50.4,2.175,220.5,45.47,238.9
57.0,3.621,206.6,53.23,225.3
47.0,1.528,232.2,48.28,188.4
53.3,2.657,250.1,46.76,202.7
53.4,2.043,218.3,51.77,210.8
53.2,2.482,200.0,47.73,218.8
55.7,2.78,220.0,42.01,211.0
56.2,2.054,224.6,44.63,213.9
53.0,2.505,230.4,62.05,205.9
49.7,2.166,242.3,57.58,216.0
61.0,3.619,232.8,45.67,214.1
49.4,1.822,242.7,48.08,206.3
57.8,2.893,232.9,49.26,197.9
62.4,3.105,255.0,50.22,209.8
57.0,2.757,210.2,39.06,237.8
52.6,2.536,239.7,51.87,185.6
64.4,3.88,199.5,48.85,211.3
54.8,2.175,236.1,50.82,218.0
62.3,2.665,207.3,56.14,212.8
52.9,2.651,208.2,51.36,200.4
60.5,2.485,196.9,53.16,225.6
57.1,2.611,239.6,50.02,211.3
51.2,2.21,239.7,53.77,196.2
48.8,1.934,256.4,48.71,204.5
55.6,3.523,233.4,61.76,202.1
49.7,1.334,198.2,42.18,194.6
49.8,2.177,235.1,52.34,198.9
51.0,2.578,254.5,51.72,205.0
51.0,2.147,230.8,42.4,203.3
49.3,2.172,228.1,33.49,204.1
56.5,2.953,200.5,54.32,202.4
52.2,2.263,227.0,43.77,215.0
62.3,3.959,229.4,46.19,224.6
65.1,3.575,200.4,48.37,191.9
54.0,2.671,236.7,48.29,203.0
56.1,2.661,209.9,46.85,207.1
58.7,3.757,182.8,48.33,218.8
53.5,2.074,214.7,56.45,196.3
57.2,2.287,203.4,59.52,221.5
57.3,2.645,234.1,48.43,223.5
63.7,1.864,202.5,45.5,184.6
48.7,1.416,230.9,48.57,216.2
53.4,2.97,232.7,51.76,219.9
52.9,2.294,238.6,56.01,225.9
45.7,1.111,266.3,52.36,222.5
45.1,1.977,238.5,46.15,216.9
53.5,4.032,216.8,50.24,190.8
58.1,3.155,212.5,56.24,212.9
51.1,1.884,232.8,55.32,204.9
51.5,1.504,210.7,46.15,215.5
55.8,2.987,225.1,46.71,211.7
55.2,2.48,225.7,55.97,230.5
58.4,2.626,225.9,46.95,209.9
59.0,2.59,232.0,43.77,199.3
63.1,3.254,213.0,42.99,207.6
49.3,1.695,245.4,52.96,212.8
52.9,1.839,215.2,46.41,198.5
52.9,1.822,247.9,49.03,209.4
57.7,2.579,236.0,57.14,218.5
52.8,2.686,237.3,52.72,220.3
53.2,2.166,236.9,40.09,196.7
58.8,2.622,198.6,39.08,218.6
52.2,2.058,219.5,44.26,217.0
51.2,2.799,211.0,51.95,216.5
52.7,1.978,191.5,46.86,199.0
56.5,3.559,216.8,50.53,194.9
62.4,3.065,171.0,50.68,210.9
55.6,2.392,233.2,41.82,203.8
60.2,4.175,192.0,50.6,202.7
55.0,2.438,209.1,47.78,230.8
56.7,2.587,243.9,51.99,212.5
58.9,3.834,197.4,48.58,218.0
54.1,2.408,196.7,45.67,202.4
54.7,2.92,184.8,47.02,217.9
66.4,3.755,200.8,51.64,205.4
51.3,2.88,225.1,43.97,212.0
58.3,3.257,240.1,44.7,210.1
53.2,3.17,211.5,52.54,216.4
57.1,1.793,236.3,66.63,223.7
48.6,1.969,223.7,50.33,198.0
53.4,2.271,235.9,63.69,211.6
60.9,2.806,208.1,56.42,182.7
51.4,2.561,241.2,57.8,197.9
49.0,1.183,216.0,35.72,209.8
46.2,2.144,196.3,50.11,203.8
54.2,3.086,248.7,44.26,198.4
59.4,3.006,221.1,43.76,207.5
56.1,3.293,194.1,48.8,208.9
56.1,3.544,228.0,45.69,198.7
48.0,1.06,279.4,44.34,210.5
56.0,2.614,230.6,57.95,214.8
42.6,1.912,258.4,46.27,213.1
56.7,2.704,221.7,39.44,213.9
57.9,3.272,215.4,59.91,197.8
51.1,1.985,197.3,54.76,210.1
62.7,2.988,215.5,42.24,209.1
50.5,2.163,253.5,50.66,201.7
58.9,2.988,201.4,53.09,211.8
52.8,2.455,232.3,43.33,206.9
53.5,2.658,210.6,46.12,211.9
52.0,1.73,264.3,54.32,195.9
55.6,2.327,236.6,51.15,204.3
61.2,2.873,212.2,40.35,201.0
59.5,3.539,229.8,46.44,198.7
50.8,1.527,264.9,40.19,211.8
55.0,2.855,218.8,55.51,225.9
52.4,2.288,250.8,39.08,215.8
54.5,2.846,231.0,48.5,228.4
57.3,1.521,165.1,52.57,187.2
59.5,2.933,210.1,40.77,224.1
50.5,1.521,233.9,56.39,221.6
63.5,3.765,219.2,46.24,226.6
52.7,2.502,227.1,51.27,205.2
61.9,3.255,241.4,41.83,208.5
55.3,3.038,238.9,46.55,219.3
57.9,2.959,198.5,44.83,200.1
52.6,1.765,206.1,45.81,226.5
47.2,1.302,238.7,52.03,206.7
54.1,2.477,225.3,45.3,241.6
59.0,2.395,208.2,51.95,226.1
42.9,0.839,242.8,53.62,222.7
55.1,2.695,253.5,45.46,219.6
57.1,2.185,241.6,37.5,190.0
56.3,2.52,217.8,48.21,202.6
54.4,3.684,235.3,52.33,195.5
52.7,2.462,243.5,49.38,203.6
56.1,2.817,173.4,37.32,212.9
53.8,2.527,219.2,40.41,183.1
46.3,1.554,223.2,45.22,219.5
48.1,1.515,211.9,51.71,189.8
60.4,3.578,210.0,60.69,216.8
45.7,1.934,232.2,59.32,207.5
53.2,2.528,229.7,47.47,206.9
58.8,2.517,188.5,48.65,227.3
50.8,1.992,241.0,50.79,198.8
54.2,2.613,206.0,46.31,191.2
56.8,2.717,238.1,49.12,216.0
58.2,2.012,206.5,42.18,212.8
51.1,1.751,218.3,54.33,214.1
55.4,2.045,202.1,52.56,208.3
65.3,3.614,226.4,49.54,212.2
58.9,2.579,196.0,49.54,211.6
51.3,2.547,254.4,46.79,193.7
52.9,2.439,253.7,49.07,214.7
56.0,3.27,224.0,47.69,197.7
48.3,2.269,226.2,61.77,210.5
54.7,2.889,199.1,51.76,212.7
60.0,3.643,201.2,46.75,202.3
52.9,2.381,240.9,43.84,200.8
48.6,1.555,250.7,54.0,222.0
64.4,3.22,182.7,47.48,197.9
51.9,2.689,228.1,49.57,219.3
58.4,3.081,232.2,43.96,209.6
54.2,2.246,238.0,67.03,211.2
51.6,2.202,218.5,43.38,208.2
59.4,2.684,199.5,57.15,208.9
51.7,2.225,266.9,53.55,209.2
59.4,3.525,207.1,42.73,210.4
59.6,2.563,202.0,44.26,208.3
53.1,2.962,225.5,47.82,202.3
59.5,2.849,226.0,41.94,212.0
55.1,2.602,199.1,55.17,227.2
63.6,3.361,206.1,48.97,201.6
57.0,1.989,214.9,49.58,205.5
58.2,2.223,257.6,58.77,208.3
53.8,1.929,203.8,50.58,201.9
56.5,3.012,218.8,44.56,216.4
51.9,2.741,245.3,43.87,197.1
46.7,1.032,233.3,51.85,225.6
59.7,2.853,232.3,47.45,199.1
53.7,2.426,208.1,46.23,210.3
55.7,2.546,250.1,65.18,217.0
63.1,3.71,190.5,50.66,229.0
51.2,1.391,254.0,48.54,216.1
60.5,2.904,211.4,46.53,220.9
56.9,2.907,240.7,47.93,216.6
47.6,1.276,245.8,39.41,205.6
61.2,3.038,214.1,45.42,222.5
53.9,2.124,228.6,49.37,189.7
53.2,2.276,237.7,54.43,218.2
54.0,2.256,220.8,42.86,192.8
59.4,3.486,240.1,44.51,208.3
55.7,2.772,237.4,51.28,196.6
50.1,2.552,230.1,48.69,215.2
48.6,1.624,253.0,40.65,199.2
47.7,0.832,228.0,44.77,198.3
55.1,2.396,253.0,50.84,210.8
62.1,3.088,219.9,53.68,212.6
53.1,1.788,202.9,41.34,204.9
53.7,1.918,214.2,45.02,192.5
56.9,2.347,198.1,46.71,209.1
56.6,3.237,230.0,43.87,209.1
59.4,3.33,196.2,46.88,209.2
57.6,2.475,197.7,46.79,198.8
48.6,2.267,258.7,35.96,186.3
56.5,3.019,229.3,50.16,225.9
51.8,3.266,224.0,38.78,204.9
47.7,2.119,257.8,41.86,196.3
57.3,2.124,218.9,52.32,202.7
54.3,3.44,203.9,37.32,215.5
54.6,2.644,207.6,50.49,222.2
56.8,3.098,226.4,46.16,208.7
51.1,1.963,215.3,44.71,219.9
49.4,1.537,259.2,48.95,214.4
64.2,3.695,204.4,47.14,200.6
62.1,3.103,206.8,42.47,170.7
54.4,2.11,200.1,48.08,192.3
60.6,2.343,231.6,54.56,211.2
54.8,2.614,235.5,57.62,228.3
50.9,1.988,209.4,46.53,209.0
53.0,1.526,231.4,47.23,207.0
61.0,2.378,192.2,43.02,196.8
55.4,1.927,210.8,45.44,198.1
44.1,0.605,279.7,48.86,208.8
43.2,1.587,219.4,49.11,214.2
58.4,3.432,195.4,60.5,208.4
70.7,3.24,165.7,38.93,230.1
47.9,1.878,251.0,45.2,193.3
57.4,3.648,242.9,38.59,214.1
61.4,3.389,229.0,56.37,221.4
44.5,1.062,242.9,49.13,215.1
52.4,2.25,255.9,60.42,224.3
56.2,2.807,201.7,46.65,193.4
61.7,3.285,183.9,53.75,200.2
63.5,3.699,209.5,49.49,230.5
54.3,2.074,221.6,49.5,198.4
51.3,3.01,268.9,48.78,199.0
61.8,3.586,216.2,51.04,205.2
49.2,1.937,217.1,49.14,213.1
52.3,1.862,230.7,53.63,182.8
57.1,2.641,222.4,45.39,196.0
53.7,2.818,220.0,49.05,232.6
59.4,2.156,211.6,49.84,211.5
60.4,3.501,213.3,53.95,207.7
56.5,2.863,229.4,36.93,191.3
57.1,2.499,225.3,39.91,209.7
55.8,2.291,220.8,48.98,200.9
48.0,1.251,258.9,38.95,222.2
52.6,1.875,238.2,59.41,207.1
43.0,1.108,240.1,34.89,231.6
56.7,3.028,211.9,45.74,221.9
45.4,2.683,248.2,47.22,209.2
54.3,2.495,207.1,50.73,211.0
57.1,2.628,222.4,45.74,206.3
51.1,1.824,219.4,38.27,199.8
49.2,1.831,237.5,57.38,205.2
53.6,2.132,219.4,51.07,212.0
54.8,2.046,235.1,47.23,212.1
58.1,2.481,216.2,58.59,208.1
61.6,2.466,219.9,43.95,198.6
56.8,2.773,215.7,58.77,209.9
55.4,3.055,213.8,57.39,184.7
49.0,1.846,191.0,52.57,213.8
48.7,1.39,219.9,47.38,220.7
44.4,0.26,251.9,45.6,201.0
62.4,3.749,206.7,47.89,215.8
50.9,2.819,231.0,39.52,201.2
59.3,2.961,239.0,47.2,218.5
57.5,2.351,212.0,55.7,207.2
58.4,3.385,210.8,47.15,208.9
49.6,2.295,238.9,46.15,211.2
58.1,2.539,227.1,51.95,212.5
51.8,2.031,223.5,55.29,214.1
53.8,2.774,233.0,49.44,207.6
63.5,2.987,168.5,44.96,209.0
53.8,2.637,227.7,37.16,206.7
58.8,3.644,200.2,49.02,219.8
58.5,3.427,228.7,48.02,203.2
56.5,2.99,226.3,54.74,199.7
49.8,2.017,204.5,34.42,206.8
61.2,3.374,211.5,56.56,219.1
53.3,2.187,226.0,48.22,225.2
46.2,1.123,210.7,45.18,212.9
48.9,1.268,252.6,53.85,207.0
45.2,1.854,280.3,43.69,207.8
59.1,3.299,178.1,49.55,184.6
54.6,2.402,206.4,44.33,196.6
59.9,3.159,213.6,61.68,209.5
52.0,2.21,229.4,48.78,206.4
56.4,2.061,204.8,48.35,207.0
57.5,2.442,206.4,42.04,212.1
52.4,1.389,237.1,53.15,191.6
59.4,2.199,204.0,52.2,199.1
45.4,1.526,264.7,64.32,183.0
63.5,3.668,199.0,41.93,215.4
51.7,2.134,246.3,42.06,235.2
64.4,3.903,228.4,43.52,222.3
61.1,3.892,260.2,40.06,197.4
53.0,1.486,203.3,49.82,203.7
56.9,2.14,225.7,44.13,193.3
56.1,2.799,231.2,51.61,205.7
56.5,2.485,259.6,54.74,191.3
55.2,2.893,234.7,55.09,223.7
57.0,2.262,190.4,49.32,191.1
51.7,2.501,228.4,54.1,211.5
49.9,2.378,187.1,62.58,210.8
58.5,2.937,173.3,49.3,219.2
50.9,2.869,223.9,49.65,218.0
51.2,0.912,246.6,53.28,215.3
56.4,3.139,214.7,43.04,179.1
47.5,1.133,233.1,55.51,210.0
54.2,2.284,225.5,52.25,228.6
57.9,2.676,239.0,45.26,237.3
59.0,3.204,221.7,52.0,221.9
47.7,1.588,225.5,41.98,208.2
53.2,2.548,218.7,45.8,208.8
57.4,2.494,211.5,38.69,236.9
50.4,2.165,235.2,53.47,218.2
47.5,1.353,229.2,39.85,219.7
58.4,2.679,187.6,42.41,208.4
60.0,2.46,212.7,50.09,224.0
53.6,2.284,233.9,45.05,211.2
50.9,1.995,241.2,43.77,196.7
55.6,2.178,222.3,37.91,198.4
58.0,2.522,231.3,52.38,208.7
55.1,2.596,228.1,44.91,209.4
51.4,1.899,224.7,44.49,207.6
53.1,3.094,233.6,52.87,213.0
49.3,1.141,212.2,59.08,210.1
56.5,2.119,204.5,46.68,227.6
54.8,2.66,226.2,40.26,222.7
56.0,2.929,239.1,44.88,224.3
42.1,1.212,255.3,46.51,212.3
51.6,1.663,209.9,49.27,210.9
54.2,2.87,204.6,44.58,207.4
57.6,2.791,200.2,43.37,196.3
55.6,2.427,167.6,53.8,204.7
53.7,2.086,240.7,41.67,211.5
52.1,1.717,193.4,45.56,225.4
60.8,2.856,239.1,42.84,216.7
57.4,2.686,191.7,49.76,204.1
45.1,0.917,257.2,46.59,209.9
55.1,2.191,221.4,44.66,205.2
55.9,3.22,222.4,41.09,205.0
54.0,2.538,249.9,52.43,218.5
45.0,1.234,265.5,42.66,221.3
56.6,2.251,244.7,54.33,212.3
50.4,3.318,246.5,29.9,166.9
35.3,7.122,165.2,26.89,300.7
32.2,0.1,80.0,17.92,184.9
30.2,0.1,303.2,72.27,240.1
74.4,0.1,209.1,45.07,204.2
68.2,1.659,200.7,5.7,261.7
37.5,5.94,80.0,67.62,140.6
36.1,0.1,204.5,35.78,218.8
37.8,2.458,140.6,56.8,140.8
47.6,0.1,420.0,50.23,263.3
40.8,3.048,190.5,54.69,245.4
80.2,5.807,184.4,36.55,213.7
56.2,3.46,215.1,74.26,188.4
60.6,0.423,142.2,61.74,214.9
20.0,0.1,80.0,50.91,227.3
74.2,0.373,196.2,35.56,138.6
52.7,0.1,169.2,36.55,211.3
81.9,6.131,237.6,24.31,256.0
62.3,0.518,80.0,66.58,154.1
41.2,2.884,266.3,98.12,232.9
79.6,0.1,134.2,23.71,177.3
25.8,2.262,420.0,5.0,191.7
53.7,1.709,196.8,5.0,274.8
44.5,8.023,158.3,65.81,153.8
95.0,7.32,186.9,45.4,235.2
54.3,5.944,297.0,25.71,191.7
32.7,2.457,215.1,48.55,100.9
50.5,2.159,80.0,47.05,174.5
65.5,4.403,152.5,53.32,244.2
78.9,5.272,196.3,64.5,191.2
69.2,8.205,127.9,57.85,263.2
70.1,5.605,238.4,33.99,248.0
30.7,5.654,125.8,43.08,141.0
74.5,0.1,149.8,43.31,222.4
63.4,7.449,139.6,39.82,257.8
52.1,4.025,185.8,79.04,240.1
78.2,1.633,238.5,23.15,126.6
72.9,0.1,167.9,81.02,242.4
43.0,4.643,316.2,18.19,239.1
85.2,1.391,139.3,96.38,317.4
61.4,6.617,274.7,32.66,157.0
61.8,4.979,234.7,77.65,257.7
69.6,0.677,308.2,59.59,250.1
47.0,0.1,284.1,43.36,187.4
46.6,6.882,218.7,45.92,222.0
47.9,7.663,291.6,65.52,233.2
66.4,7.232,285.7,60.33,251.5
