area_m2,rooms,floor,distance_center_km,year_built,schools_1km,parks_1km,metro_minutes,renovation_score,noise_db,target
63.6,3,9,8.06,1969,3,0,27.5,6.4,50.1,15.084
51.2,5,6,12.71,2000,4,1,19.8,8.7,49.9,22.628
111.3,4,6,7.74,1999,1,3,23.4,4.0,49.2,12.099
43.7,3,7,13.07,2002,3,1,25.8,5.6,55.6,19.769
80.8,3,1,10.85,1969,0,1,16.3,8.2,41.6,8.543
74.9,2,1,6.84,2000,2,0,18.3,4.9,59.0,6.572
51.9,2,2,12.02,1987,5,0,18.0,5.0,52.7,14.136
74.0,3,11,12.8,2013,3,1,12.5,5.2,45.0,11.085
46.6,4,14,10.53,1978,1,0,15.0,3.6,60.4,5.839
61.9,2,8,3.55,1994,3,3,20.5,3.8,49.7,3.784
77.9,2,4,19.3,1979,2,4,15.2,4.8,53.6,14.081
79.1,3,9,12.18,2016,1,4,24.9,5.9,58.3,17.35
52.7,4,13,8.62,1980,3,1,18.8,6.3,49.0,13.132
63.4,3,8,5.81,1981,3,0,22.5,5.6,58.9,11.522
69.3,3,9,8.44,2001,3,3,11.9,5.6,63.6,7.085
42.1,2,3,13.56,2004,3,0,6.7,4.6,54.1,4.84
65.2,2,11,3.46,2002,0,3,9.8,6.4,56.6,1.5
52.9,3,4,14.18,2000,1,4,24.6,9.0,48.5,19.984
84.0,2,11,3.61,1980,2,1,14.8,4.8,42.5,1.5
59.6,4,6,5.88,1968,2,0,24.1,6.6,45.8,10.359
80.7,4,9,8.57,2002,2,2,13.8,5.1,47.1,8.076
36.8,2,4,10.37,1977,1,1,10.8,5.7,47.0,1.5
44.5,4,9,10.02,2012,1,2,11.3,6.2,53.5,6.6
44.3,4,10,8.39,2024,1,3,18.9,6.6,52.4,11.721
68.2,3,9,16.21,1988,1,0,20.8,6.2,45.5,14.846
46.7,2,5,10.02,2005,1,2,17.1,7.1,46.8,8.153
41.3,2,9,8.51,2021,2,2,26.9,6.6,50.4,15.865
73.8,2,3,12.78,1994,1,3,18.0,3.0,42.7,6.489
65.3,5,4,6.21,2020,0,2,15.5,3.9,53.7,6.071
45.3,4,9,3.82,1986,2,2,23.6,6.3,56.3,8.651
79.4,4,4,2.89,1977,1,0,16.6,4.2,51.7,1.732
65.0,4,2,8.7,1967,2,3,20.5,8.0,59.9,12.126
58.1,3,10,10.34,1975,2,1,31.3,5.1,47.6,15.305
46.9,2,7,15.56,1995,1,2,8.3,7.1,62.8,7.747
60.2,3,5,7.82,2023,1,2,23.2,7.4,59.7,14.715
85.2,1,2,12.57,1985,5,1,24.0,6.0,53.5,18.875
70.5,2,6,16.76,1984,1,1,19.3,5.9,58.0,14.41
52.2,2,12,6.23,1986,4,1,21.5,4.8,43.9,10.517
37.6,2,8,7.86,2018,1,1,12.3,4.3,44.6,2.074
72.3,3,5,12.64,2024,1,2,19.5,8.1,48.4,19.028
50.5,5,5,6.57,1991,1,0,21.0,4.7,48.5,7.912
37.1,1,8,12.78,1981,2,3,17.9,6.3,53.2,6.731
66.6,2,9,13.58,1991,2,0,32.7,3.8,48.5,19.916
92.3,1,8,8.08,1954,5,2,13.9,8.1,61.5,8.056
81.6,5,7,7.61,2013,2,1,16.0,6.2,36.9,12.445
62.1,3,2,4.62,2012,2,2,23.8,5.8,55.2,11.447
62.8,1,9,12.95,1978,2,3,20.6,6.0,42.6,11.583
59.9,4,3,13.49,2024,2,1,13.8,1.7,50.6,8.208
45.2,3,4,11.83,2018,4,1,8.6,6.8,48.4,11.07
53.8,3,13,15.32,2009,3,2,17.0,4.8,53.9,16.132
39.6,1,4,8.87,2004,3,0,18.5,5.9,49.8,8.153
51.1,3,5,5.9,2024,3,0,12.8,5.9,60.6,7.52
49.6,2,10,4.24,2009,3,2,19.1,7.8,48.7,10.429
40.0,2,6,11.24,2001,3,2,24.8,5.9,47.9,14.527
63.8,3,5,6.82,1983,5,1,10.9,4.5,50.6,6.153
51.0,3,8,8.61,1964,1,0,25.6,3.1,65.3,5.285
54.8,2,3,7.57,2018,2,1,28.3,3.3,53.6,12.734
77.6,4,11,8.21,2011,1,3,12.3,8.7,55.2,9.888
47.7,4,13,10.75,2024,2,2,9.1,5.0,53.3,6.925
69.1,1,12,11.38,1962,2,0,13.8,7.5,58.8,7.023
61.7,2,11,13.88,1992,0,0,24.0,6.6,54.2,10.34
63.2,3,13,17.19,2024,0,2,12.7,4.1,61.8,9.809
52.7,4,11,2.7,2010,2,1,16.9,6.5,43.1,6.105
57.9,2,14,1.47,1990,2,3,24.6,6.1,46.0,6.136
54.1,4,10,6.2,2018,3,1,14.4,4.8,50.6,9.44
71.5,2,12,11.56,2013,3,2,19.8,8.2,51.5,18.237
65.3,2,16,9.19,1981,4,0,16.3,7.6,55.1,14.379
77.9,3,6,4.09,2003,2,1,15.2,7.0,54.5,8.148
68.9,4,7,8.06,1986,4,0,17.2,8.5,48.9,14.819
89.0,2,8,4.17,1992,2,2,19.8,5.3,53.2,6.794
31.4,3,12,3.67,1995,3,1,17.9,5.1,52.7,3.039
88.8,5,5,12.48,1991,2,1,6.8,5.1,38.0,9.592
81.6,2,10,8.96,2014,1,0,25.8,5.3,60.5,12.396
82.0,2,9,0.87,2010,2,3,10.0,6.7,49.6,1.5
67.4,3,9,10.06,2001,2,4,27.5,8.1,49.4,18.772
69.3,2,4,14.4,1999,2,2,14.6,5.3,54.5,12.018
78.7,2,9,12.11,1992,4,0,31.1,7.1,46.9,24.79
80.9,3,6,8.78,1993,2,1,7.6,7.8,48.4,6.594
46.4,4,10,4.56,2011,3,2,24.4,2.9,54.9,10.737
47.8,2,8,9.36,1998,3,3,16.9,5.6,39.2,8.976
66.0,3,5,2.25,2006,4,1,26.6,3.9,35.9,10.413
53.8,3,9,11.29,2003,3,1,25.7,8.2,51.0,19.084
55.4,2,7,11.25,1990,1,4,16.9,6.0,49.9,6.116
71.0,4,5,4.15,1978,2,0,27.6,6.2,44.6,11.515
59.1,3,3,8.02,2009,5,1,34.8,4.4,53.9,23.521
62.6,3,8,7.39,2006,2,1,13.0,7.8,47.0,7.947
47.6,2,9,11.11,2005,3,3,20.1,4.5,52.5,12.775
21.2,4,6,11.26,2000,4,2,16.9,6.0,50.4,13.665
82.5,1,4,3.05,2009,3,4,13.8,5.7,56.9,4.615
31.6,4,9,9.93,2024,1,3,17.4,7.3,70.4,11.976
57.4,5,5,8.51,1981,2,1,15.0,7.3,60.3,12.672
45.3,3,12,11.62,1986,4,1,20.2,8.9,50.0,19.495
46.6,4,2,11.0,1999,2,2,14.2,6.4,55.1,10.661
54.3,2,9,5.53,1973,0,1,18.6,5.7,49.5,1.5
59.1,4,10,7.46,1983,3,2,20.4,6.3,59.9,12.671
51.9,1,10,9.76,1990,1,1,18.3,5.7,44.1,5.56
87.8,2,5,7.81,1997,4,1,17.7,3.1,46.9,9.805
70.1,2,7,6.5,1997,3,3,19.9,7.1,49.8,10.949
51.9,2,11,4.88,1966,2,2,17.5,5.1,59.0,3.323
72.6,3,10,15.66,1977,2,3,14.0,6.8,52.1,11.884
42.3,3,5,11.35,1983,3,4,10.0,6.9,60.6,7.815
52.5,5,12,2.2,1990,2,1,17.9,7.7,47.8,8.886
67.9,5,8,7.0,1992,4,1,6.5,3.3,46.5,4.756
75.6,5,6,7.1,1983,0,1,14.2,6.4,50.7,6.39
50.6,3,1,7.39,1995,3,1,23.9,4.3,62.1,11.221
42.2,1,7,5.0,1976,4,2,15.9,7.7,49.8,6.738
39.3,1,7,17.76,1986,4,5,18.2,6.9,55.5,17.331
49.3,3,5,7.79,1989,2,0,18.3,5.6,43.4,6.712
60.3,3,6,11.31,1995,5,2,17.5,7.7,49.5,19.069
49.2,3,4,3.74,2019,0,0,13.1,6.2,55.6,1.5
60.9,2,5,2.88,1998,2,2,23.5,2.5,52.7,4.054
78.3,1,4,5.79,2024,3,0,9.9,6.1,66.1,4.649
55.4,3,9,5.28,1999,1,1,8.4,6.8,52.7,1.5
77.2,3,9,10.44,2010,0,3,26.1,5.1,44.5,12.469
71.2,3,12,12.34,2022,0,3,19.2,6.5,62.6,13.754
75.1,5,7,17.42,2009,3,1,7.7,7.9,51.3,20.428
81.0,2,2,10.27,2010,1,2,24.9,5.2,54.0,11.984
37.4,2,1,9.81,1984,1,0,20.0,5.9,48.4,6.123
76.8,2,6,6.46,1981,0,2,16.4,5.9,41.7,1.5
64.8,4,10,9.53,1974,5,3,18.2,5.5,55.3,16.26
73.9,3,12,4.8,1989,3,1,30.1,7.5,57.7,17.903
49.0,3,13,11.34,1984,3,2,24.5,4.7,46.5,15.564
36.3,1,12,7.74,1965,3,1,17.9,5.7,50.6,4.46
104.4,3,4,6.75,1984,2,1,23.5,6.2,57.3,14.46
89.4,2,13,3.85,1994,0,3,15.6,5.1,46.2,1.5
42.4,3,6,0.64,2007,2,0,12.0,6.8,54.3,2.387
52.4,4,6,6.21,2011,3,3,16.5,4.0,49.4,9.21
61.2,2,6,11.75,1967,0,1,23.2,8.1,56.3,8.072
66.8,4,5,7.84,1994,4,1,20.9,5.8,57.4,15.548
59.7,2,4,7.12,2024,3,1,19.7,2.4,51.8,9.094
30.6,2,13,12.06,1979,3,0,11.5,5.1,56.5,6.948
61.6,3,3,8.1,2024,3,0,10.3,5.6,54.8,7.154
44.1,3,6,12.52,1989,1,4,9.8,6.0,51.1,4.067
79.9,4,10,8.54,1993,2,1,21.1,6.0,53.3,12.398
45.7,3,3,7.55,2008,0,2,25.4,3.9,54.8,5.755
83.8,4,10,0.5,2017,1,2,3.3,4.8,52.5,1.5
62.5,2,6,12.64,1995,2,4,16.2,1.6,45.6,4.671
92.7,2,8,9.37,2018,3,1,6.7,10.0,47.1,12.373
81.3,2,7,6.81,1994,3,3,29.9,5.3,52.7,17.456
60.4,2,8,4.62,2003,2,2,24.9,6.1,53.8,9.747
46.6,3,9,3.8,1995,1,2,32.6,6.4,51.7,11.247
29.2,2,3,14.28,1983,1,3,23.1,5.9,48.1,9.956
62.1,1,10,9.52,1978,2,2,10.9,6.6,53.0,2.832
67.1,4,5,8.48,1969,0,0,15.6,6.4,46.3,4.292
73.0,3,6,13.17,1998,2,1,12.6,7.9,59.0,13.583
38.6,1,10,5.35,1994,0,1,11.1,6.7,49.5,1.5
55.0,1,6,10.27,1981,2,1,8.2,7.6,66.4,1.5
52.1,3,5,12.58,1991,3,3,25.8,6.2,56.5,16.902
83.2,3,9,7.83,2004,0,4,8.0,7.2,44.4,1.5
44.7,2,3,9.47,2013,4,0,13.6,5.9,51.3,9.869
38.7,4,7,6.38,1963,1,2,18.0,6.2,49.0,5.175
34.9,4,16,10.9,2000,2,0,16.5,8.0,50.3,14.615
92.6,3,12,5.25,2012,2,2,19.5,5.7,49.3,10.969
48.7,4,3,14.91,2008,1,2,11.1,5.5,51.8,9.05
46.8,5,6,8.41,1983,4,0,20.2,4.4,52.9,14.282
66.1,3,8,8.25,2021,2,2,14.8,6.8,59.9,9.855
59.8,3,5,5.73,2008,3,2,21.3,6.1,53.4,11.543
81.7,5,10,12.31,2024,3,2,5.0,7.6,43.1,15.193
71.7,2,12,5.84,2012,1,1,16.4,5.4,48.6,4.675
64.8,2,4,10.14,2018,2,2,11.5,4.0,52.6,4.9
65.8,3,9,6.08,2010,4,2,26.1,6.9,55.6,20.309
62.6,3,6,5.44,1978,2,0,16.0,7.6,51.2,8.727
69.1,1,6,7.32,1990,2,0,13.7,6.6,46.2,4.942
65.8,1,4,7.17,2024,3,0,11.4,5.2,59.0,5.087
41.5,3,6,6.7,1997,3,3,17.9,9.4,50.4,14.323
60.9,3,14,9.15,1990,0,2,11.3,5.8,49.4,1.5
64.1,2,8,8.6,1997,3,1,12.2,6.7,50.3,9.681
63.8,4,6,7.19,1987,2,0,21.2,5.8,59.7,11.966
63.1,3,6,6.44,1985,1,2,28.0,7.6,45.4,14.807
87.9,4,8,15.57,1997,0,1,17.8,7.2,42.1,15.733
31.5,2,7,9.74,2002,1,1,10.2,5.8,42.3,1.5
56.0,4,5,11.8,2002,4,3,18.1,5.4,47.1,16.675
88.2,4,16,4.73,2019,1,2,16.5,7.1,56.6,10.348
60.6,3,4,8.62,1985,3,0,16.3,4.1,49.8,7.444
22.4,4,5,9.33,1977,3,3,18.6,3.7,58.7,7.615
42.4,1,10,14.05,1976,4,1,29.1,5.4,47.6,18.27
79.4,3,11,15.5,1996,1,0,9.2,7.8,41.9,9.536
61.3,2,3,12.33,1993,4,2,21.4,6.4,52.9,18.494
47.6,4,2,11.47,1972,1,2,29.4,4.6,40.4,14.607
42.8,4,7,5.99,1974,2,0,22.3,3.5,54.9,7.548
46.6,1,6,10.34,2022,0,0,10.9,6.6,53.1,1.5
68.3,3,5,4.01,2021,4,3,12.7,2.7,51.4,6.479
40.7,5,2,8.22,2017,1,2,15.9,5.9,46.3,8.749
62.3,2,8,8.62,1981,2,2,15.8,4.6,54.6,4.079
61.7,1,11,17.17,1992,3,0,21.2,3.8,57.1,15.232
60.9,3,4,10.18,1990,2,1,14.2,6.7,51.3,8.449
57.7,2,3,4.99,2003,3,1,25.8,7.4,60.1,12.666
79.8,3,8,7.01,1987,1,1,17.8,10.0,51.8,11.727
46.0,4,9,11.39,1995,3,3,18.7,6.0,47.6,15.526
57.9,3,8,8.59,1981,3,2,22.4,4.1,52.0,10.332
71.2,2,9,8.79,2010,4,2,27.4,8.1,46.1,21.33
100.2,1,4,5.29,1987,0,1,18.9,5.7,42.6,1.5
53.1,1,10,7.99,1993,1,1,24.5,7.4,59.4,9.457
79.9,3,11,13.35,2005,3,2,23.3,8.8,56.3,23.028
96.4,3,3,7.51,1998,2,3,12.0,7.0,49.3,9.77
82.8,3,9,0.5,2024,3,1,21.7,4.9,44.2,6.88
74.7,3,8,8.8,1962,2,0,10.8,7.2,55.3,4.78
42.9,2,12,10.54,1985,2,1,24.3,6.9,47.5,13.163
96.9,4,9,15.4,1982,3,2,17.4,6.2,55.7,20.232
73.8,3,4,5.34,1987,3,1,26.6,6.1,53.5,13.999
80.7,4,7,6.94,1980,2,0,26.5,7.9,56.4,17.467
26.8,3,9,10.58,1991,1,2,22.8,5.7,45.7,10.451
59.3,2,13,11.65,1998,1,2,10.1,8.7,55.5,7.438
72.0,2,3,2.34,2024,4,1,18.0,4.8,49.6,6.871
44.9,4,5,12.19,1973,2,4,14.3,6.9,51.9,10.145
49.3,2,8,12.5,2003,3,1,29.1,5.8,49.1,19.283
75.0,3,4,3.98,2024,3,1,18.1,4.8,51.5,8.467
69.0,2,5,13.65,2001,0,1,26.9,5.6,40.7,13.473
56.2,2,3,4.58,2011,2,1,17.5,5.4,49.4,3.518
89.6,2,11,4.92,2001,0,4,18.8,5.3,55.2,1.5
44.1,3,2,4.95,2000,0,0,12.5,7.3,48.9,1.5
46.4,1,4,10.7,1966,2,2,15.1,6.2,51.8,4.356
41.7,5,11,12.7,1986,3,1,16.5,4.6,36.0,12.71
53.4,3,5,12.29,1986,2,2,11.0,7.1,52.0,8.165
40.6,3,5,7.58,1999,3,0,23.7,3.4,49.3,9.39
60.9,1,7,10.77,1984,2,2,21.2,6.0,56.1,9.6
41.7,5,7,14.34,1975,5,0,18.3,6.4,63.8,22.716
77.3,5,3,11.42,2002,4,3,11.2,7.2,46.9,17.763
42.1,2,10,7.42,2006,0,1,20.4,7.5,65.7,6.119
89.7,4,4,11.16,2009,0,2,18.5,7.8,59.8,13.975
49.7,3,6,15.49,2012,0,1,8.5,8.3,50.7,7.271
78.0,3,6,5.38,1978,2,3,19.6,6.1,52.1,5.593
85.1,2,9,7.25,1996,2,2,20.1,5.2,49.0,8.812
42.1,4,4,10.72,1995,0,0,11.9,6.0,54.7,3.973
51.4,3,9,13.32,1953,3,2,18.4,7.2,58.7,12.497
40.6,2,9,2.16,1983,2,1,21.5,5.9,52.9,2.432
52.7,3,7,12.83,1982,3,1,24.0,4.1,45.6,14.197
53.1,1,6,2.11,1968,1,0,18.8,5.1,46.8,1.5
77.6,2,12,11.31,1978,2,4,29.4,6.2,44.8,15.823
77.2,3,2,10.57,2024,2,3,25.7,8.1,48.4,22.053
61.8,3,14,6.9,1977,2,2,20.7,6.7,51.2,9.92
50.5,4,11,9.85,2009,4,0,18.2,5.3,44.5,15.63
64.6,4,5,10.02,1984,2,1,19.3,6.6,54.3,11.949
39.3,3,6,3.17,2020,0,0,7.1,5.9,54.3,1.5
28.6,3,8,11.32,1972,1,3,8.6,3.9,52.6,1.5
83.3,2,6,6.51,1992,2,1,2.0,7.2,48.4,1.5
70.8,1,7,6.85,1984,3,0,26.9,5.1,55.5,10.051
40.9,2,3,6.48,2016,1,4,19.3,7.4,51.5,6.739
88.7,3,6,7.07,1986,2,0,8.9,6.4,57.6,4.186
79.0,2,6,6.68,2016,3,2,16.4,3.4,54.1,5.306
87.7,3,11,8.3,2000,2,2,32.2,7.7,52.9,21.789
44.1,2,6,3.49,2013,2,2,24.2,3.6,54.1,4.382
55.9,2,7,10.74,2006,1,0,5.9,6.5,45.1,2.88
78.6,3,4,6.13,1989,1,2,2.5,6.0,52.2,1.5
75.7,2,11,8.3,1986,0,2,17.8,8.0,47.6,5.173
74.5,3,2,7.21,1970,2,1,9.3,5.1,60.0,1.5
98.8,3,1,8.79,2006,1,1,21.4,6.8,52.9,12.423
76.0,2,7,1.88,2006,2,1,22.7,4.5,61.0,4.292
20.0,2,6,10.29,2022,2,1,23.9,5.3,59.5,10.437
73.9,4,8,11.0,1975,2,0,19.9,7.6,49.5,15.87
55.0,3,10,8.73,1984,3,2,17.5,6.2,67.6,10.744
86.2,4,12,9.86,2017,4,2,27.6,4.6,43.4,22.908
57.0,4,5,14.14,1986,0,1,21.8,3.5,44.0,8.679
70.4,2,5,5.64,2016,1,3,7.6,5.8,41.3,1.5
53.2,2,7,4.0,1979,1,3,22.1,4.2,55.8,2.284
44.8,3,1,4.27,1996,1,3,13.9,4.9,47.1,1.5
67.8,3,8,7.71,2024,2,3,10.1,5.4,48.6,8.377
62.0,3,9,1.04,2003,3,2,23.4,6.6,44.8,11.408
20.0,3,9,12.47,1986,1,3,17.2,6.6,43.9,7.715
65.3,2,9,14.56,1997,2,1,14.5,7.8,44.9,13.568
78.5,3,4,7.97,1964,2,2,21.4,8.5,49.6,13.514
69.0,2,5,6.83,2011,3,1,17.2,5.9,57.1,9.001
58.4,3,7,2.95,1999,0,2,12.2,7.3,68.6,1.5
77.8,2,14,4.68,1993,3,0,20.0,5.4,37.1,8.343
33.8,1,8,7.32,1982,2,1,23.6,6.5,48.3,6.072
46.2,2,9,8.07,1985,0,0,27.6,6.1,67.2,8.325
51.6,5,8,10.96,2005,2,0,23.1,8.7,58.6,21.068
57.9,4,9,7.82,1968,5,3,9.9,5.8,53.5,8.197
74.4,2,7,8.56,1985,0,1,16.5,6.9,49.5,1.5
37.6,3,8,15.62,1958,3,3,13.1,5.6,46.4,9.85
62.0,2,4,5.79,2024,2,1,14.9,6.2,47.1,6.243
72.6,3,9,10.84,1990,0,1,20.6,8.5,50.8,11.126
89.0,3,7,0.5,1989,1,1,19.0,6.3,49.8,4.672
36.8,4,1,7.36,1998,4,1,15.6,6.1,47.1,11.379
83.8,3,14,10.82,2020,2,1,20.3,7.7,52.3,18.24
52.2,3,4,14.76,2024,2,2,18.3,6.9,61.1,19.285
56.3,4,11,7.72,1997,0,1,30.3,6.6,47.3,14.743
53.9,1,4,7.01,1962,2,2,15.9,5.2,55.1,1.5
83.5,1,7,16.95,1957,1,0,17.1,4.0,59.3,8.58
78.9,2,7,5.77,2005,3,3,11.0,6.5,60.5,5.968
64.7,3,9,5.33,1994,1,2,26.5,6.7,45.3,12.143
48.3,4,8,11.25,1988,2,1,32.3,8.3,55.2,22.102
58.1,3,10,4.49,2003,2,1,15.2,6.0,53.7,3.955
69.8,3,14,10.26,1987,3,2,11.5,4.3,45.3,8.476
63.8,1,8,4.23,1970,0,0,28.7,5.7,56.8,4.131
66.5,3,5,10.76,2013,2,3,14.7,5.5,59.4,9.698
93.5,3,9,16.26,2004,3,1,11.6,6.3,44.6,15.471
42.9,3,4,3.4,2019,3,3,19.2,6.8,51.7,9.319
90.1,2,6,13.64,1978,1,1,21.0,6.0,52.1,12.225
87.2,3,14,11.11,1971,2,0,9.4,1.8,58.4,1.5
48.9,3,5,7.72,1999,3,1,13.9,4.8,54.6,6.938
57.1,1,7,13.6,2012,3,2,23.2,5.3,48.3,14.754
67.0,3,1,8.88,2000,4,2,26.0,6.5,45.0,20.796
63.0,2,9,5.44,2006,1,1,19.5,7.7,54.9,8.374
87.3,4,7,13.61,2008,2,2,24.4,4.7,52.3,19.71
82.8,3,9,10.01,1996,3,0,19.6,7.1,48.6,14.573
49.6,4,1,7.33,1974,0,0,25.0,7.0,57.7,7.096
69.3,2,5,6.95,1998,2,0,19.1,7.0,39.2,8.225
44.4,1,10,6.87,2005,2,3,17.2,5.4,48.1,2.573
73.6,3,8,6.86,1986,1,2,11.1,7.0,46.9,3.997
72.5,3,6,7.96,2008,1,0,18.7,6.5,62.7,10.494
42.5,2,1,9.66,2019,3,2,37.1,5.7,58.7,22.739
27.6,3,3,11.63,1989,2,1,24.1,6.4,60.8,11.909
62.4,2,10,11.31,2004,2,1,20.2,5.3,46.2,12.072
62.6,2,11,14.98,1995,2,3,25.1,5.7,45.2,15.746
79.6,2,7,10.64,2002,1,3,24.9,4.8,55.2,11.426
64.7,2,3,11.44,1993,2,3,6.5,7.3,51.2,4.999
64.4,2,6,4.07,1994,2,3,22.9,5.7,54.3,7.248
58.8,3,9,10.26,2008,2,2,15.4,6.6,57.9,10.641
60.6,4,6,8.99,1994,2,0,13.6,5.0,50.4,6.336
100.6,4,10,11.92,1980,2,2,22.4,5.3,49.5,17.218
69.2,1,9,1.59,2015,6,3,18.9,5.9,53.4,10.843
70.8,3,3,13.41,2018,2,1,8.4,4.2,51.8,7.623
29.7,6,6,10.9,1966,1,3,23.5,6.0,57.5,15.465
71.4,2,1,10.87,2009,3,3,10.4,8.4,55.3,11.391
